,x,Vicon std,Vicon,Xsens std,Xsens,CKF std,CKF
ePos,Static,0.430351264,2.339752498,1.537731777,5.75203385,0.751472038,2.640377684
ePos,Walk,0.801244658,3.629679259,1.607251107,6.376084757,1.082543367,4.51039926
ePos,Figure of eight,0.92861757,3.985037838,1.88083402,6.322926039,1.510704351,5.32326932
ePos,Zig-zag,0.940303011,4.541617011,1.617093773,5.817770442,1.465068193,5.977647397
ePos,5-minute walk,0.447753147,3.472189879,2.026357642,6.618043228,1.131980303,5.037252383
ePos,Mean,,3.593655297,,6.177371663,,4.697789209
eOri,Static,3.601961262,6.281381632,6.164769698,17.32696921,3.96079235,7.636315305
eOri,Walk,4.171750693,12.2017932,4.630142057,16.53577526,3.958790516,15.43505119
eOri,Figure of eight,3.570738439,13.5980256,15.58614587,23.97738049,6.470743432,19.36886043
eOri,Zig-zag,3.125371168,15.29835777,14.53550205,24.07395827,5.604535527,21.27236179
eOri,5-minute walk,3.460651705,12.52704916,13.3066693,27.28901639,5.104021126,19.49206645
eOri,Mean,,11.98132147,,21.84061992,,16.64093103
