,x,knee Y std,knee Y,hip Y std,hip Y,hip X std,hip X,hip Z std,hip Z
rmse,Static,1.709128786,4.895533543,2.767453566,5.640292838,1.26813087,2.738962667,4.70803221,3.729374764
rmse,Walk,2.306500917,9.763945597,2.458531903,9.282445712,2.553177757,7.280044612,3.023972303,14.47903053
rmse,Figure of eight,3.71469198,11.07854286,3.830085711,11.86580128,3.433676798,7.826584722,5.745891597,17.61904432
rmse,Zig-zag,2.954541016,12.52800398,3.546814563,13.77166791,3.578676682,7.971801107,4.743917227,19.17328109
rmse,5-minute walk,2.944973403,10.98668475,3.473128738,12.10541201,2.85400195,7.080822209,5.162808854,18.69011174
rmse,Mean,,9.850542146,,10.53312395,,6.579643063,,14.73816849
CC,Static,0.452873285,-0.088938264,0.396854248,0.304001885,0.393913524,0.393806559,0.294595071,0.227263244
CC,Walk,0.046702275,0.908588049,0.081095297,0.830600096,0.090870618,0.621575407,0.101490016,0.36660308
CC,Figure of eight,0.092406403,0.88951005,0.115895934,0.782235727,0.118868577,0.647679716,0.127249863,0.297951884
CC,Zig-zag,0.097979414,0.846128289,0.114909238,0.703658597,0.106240094,0.614114194,0.126642195,0.342962798
CC,5-minute walk,0.084937011,0.832841307,0.159393621,0.625561172,0.166935854,0.611696455,0.113298665,0.325367885
CC,Mean,,0.677625886,,0.649211495,,0.577774466,,0.312029778
