// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.3.4
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Quat_q0,Quat_q1,Quat_q2,Quat_q3
19741,,9.731560,-0.544462,2.309804,-0.008549,0.060192,0.000006,1.001221,-0.395996,0.293701,0.389722,0.520302,-0.340210,0.679455
19742,,9.722332,-0.597723,2.326020,-0.008979,0.066160,-0.000474,0.998779,-0.395996,0.289307,0.389818,0.520075,-0.340184,0.679587
19743,,9.635097,-0.629323,2.337781,-0.008665,0.071644,0.000373,0.999023,-0.398438,0.289551,0.389902,0.519830,-0.340138,0.679749
19744,,9.582138,-0.625407,2.326369,-0.008157,0.071894,-0.001831,0.999023,-0.398438,0.289551,0.390010,0.519587,-0.340096,0.679895
19745,,9.529491,-0.562406,2.326962,0.001064,0.062922,-0.009740,0.998779,-0.393799,0.289307,0.390072,0.519415,-0.339999,0.680039
19746,,9.482486,-0.589814,2.324054,0.005779,0.056564,-0.014119,1.001221,-0.398438,0.296143,0.390159,0.519272,-0.339907,0.680144
19747,,9.454640,-0.628886,2.329795,0.011231,0.048237,-0.019369,1.000977,-0.393799,0.291504,0.390226,0.519176,-0.339793,0.680236
19748,,9.558089,-0.607485,2.339441,0.009100,0.058893,-0.021643,1.001221,-0.400635,0.291748,0.390334,0.519045,-0.339665,0.680338
19749,,9.602465,-0.576435,2.353938,0.008134,0.061598,-0.024304,1.001221,-0.398438,0.291748,0.390443,0.518908,-0.339521,0.680452
19750,,9.662019,-0.556377,2.324166,-0.006825,0.075110,-0.021271,1.005615,-0.398193,0.300537,0.390618,0.518689,-0.339417,0.680570
19751,,9.660394,-0.554648,2.331320,-0.004602,0.073653,-0.017282,0.999023,-0.398438,0.293945,0.390739,0.518482,-0.339295,0.680719
19752,,9.662400,-0.613167,2.379567,-0.012361,0.056469,-0.015381,0.999023,-0.400635,0.296143,0.390876,0.518306,-0.339261,0.680791
19753,,9.596691,-0.628474,2.366411,-0.011931,0.050491,-0.014895,0.996582,-0.396240,0.300293,0.390950,0.518167,-0.339205,0.680882
19754,,9.539004,-0.590713,2.342138,-0.012853,0.035513,-0.015234,0.999023,-0.400635,0.300537,0.391054,0.518061,-0.339215,0.680899
19755,,9.555230,-0.629031,2.386230,-0.012815,0.016333,-0.015108,1.003418,-0.398438,0.298340,0.391069,0.518038,-0.339221,0.680904
19756,,9.615974,-0.668601,2.339450,-0.023043,0.024996,-0.014273,1.001221,-0.395996,0.293701,0.391178,0.517946,-0.339288,0.680878
19757,,9.577674,-0.643164,2.322741,-0.029059,0.024075,-0.020002,0.999023,-0.400635,0.293945,0.391302,0.517858,-0.339352,0.680842
19758,,9.641690,-0.625396,2.343386,-0.028016,0.027585,-0.020021,0.994385,-0.394043,0.289307,0.391447,0.517757,-0.339416,0.680803
19759,,9.629935,-0.617220,2.314352,-0.039213,0.037458,-0.024044,0.994385,-0.398438,0.298096,0.391632,0.517612,-0.339479,0.680776
19760,,9.575709,-0.639043,2.331961,-0.041054,0.052082,-0.027651,1.003174,-0.393799,0.295898,0.391878,0.517416,-0.339520,0.680763
19761,,9.601322,-0.654925,2.323955,-0.044764,0.058921,-0.027679,0.996826,-0.400635,0.296143,0.392131,0.517190,-0.339549,0.680775
19762,,9.584579,-0.701229,2.361809,-0.046774,0.061075,-0.025915,0.998779,-0.394043,0.298096,0.392401,0.516949,-0.339596,0.680779
19763,,9.654742,-0.718345,2.264074,-0.047825,0.060515,-0.021490,0.994141,-0.391846,0.300049,0.392628,0.516707,-0.339639,0.680810
19764,,9.656750,-0.718834,2.323932,-0.037290,0.057340,-0.021460,0.996582,-0.398438,0.300293,0.392852,0.516489,-0.339672,0.680829
19765,,9.634606,-0.732972,2.350998,-0.029957,0.038891,-0.016516,0.999023,-0.405273,0.298584,0.392992,0.516342,-0.339715,0.680839
19766,,9.593988,-0.793419,2.354864,-0.025948,0.036028,-0.017821,0.996826,-0.400635,0.293945,0.393139,0.516213,-0.339761,0.680829
19767,,9.593191,-0.792449,2.358437,-0.017124,0.042007,-0.012974,1.001221,-0.400635,0.302734,0.393171,0.516104,-0.339722,0.680913
19768,,9.615701,-0.748738,2.307932,-0.011994,0.048884,-0.016959,1.003418,-0.395996,0.300293,0.393300,0.515957,-0.339697,0.680962
19769,,9.633172,-0.701205,2.335453,-0.008366,0.062654,-0.014788,0.994629,-0.403076,0.302734,0.393401,0.515776,-0.339613,0.681083
19770,,9.637417,-0.732810,2.351062,-0.003630,0.062284,-0.010358,1.003174,-0.393799,0.298096,0.393509,0.515588,-0.339550,0.681194
19771,,9.652636,-0.771672,2.398420,-0.000452,0.056648,-0.005915,0.998779,-0.396240,0.295898,0.393545,0.515430,-0.339473,0.681332
19772,,9.685773,-0.735413,2.381409,0.012378,0.059771,-0.002356,0.998779,-0.391602,0.300049,0.393580,0.515269,-0.339381,0.681479
19773,,9.663359,-0.749807,2.408999,0.025836,0.041073,-0.005345,0.996582,-0.398438,0.298096,0.393581,0.515189,-0.339291,0.681584
19774,,9.721326,-0.758004,2.409993,0.030859,0.046180,-0.000045,0.996582,-0.398438,0.304688,0.393537,0.515106,-0.339169,0.681732
19775,,9.575599,-0.779646,2.422090,0.035253,0.053520,-0.005344,0.999023,-0.403076,0.300537,0.393473,0.515028,-0.338978,0.681923
19776,,9.528734,-0.748603,2.430285,0.044458,0.042872,-0.003945,1.001221,-0.398438,0.306885,0.393403,0.514990,-0.338806,0.682078
19777,,9.457788,-0.731237,2.406257,0.043476,0.048535,-0.002197,0.994385,-0.396240,0.302490,0.393277,0.514948,-0.338590,0.682289
19778,,9.429970,-0.712722,2.423088,0.047027,0.029268,0.003188,0.996582,-0.398438,0.302490,0.393152,0.514950,-0.338454,0.682427
19779,,9.619627,-0.719233,2.415687,0.052109,0.018238,0.012966,0.994385,-0.398682,0.304688,0.392935,0.514989,-0.338331,0.682584
19780,,9.627079,-0.724543,2.395558,0.053142,0.021734,0.012962,0.998779,-0.391602,0.300049,0.392748,0.515011,-0.338215,0.682732
19781,,9.650507,-0.741111,2.330804,0.055526,0.022531,0.024892,0.999023,-0.400635,0.300537,0.392520,0.515009,-0.338124,0.682910
19782,,9.735320,-0.710774,2.329966,0.050443,0.024841,0.030599,1.001221,-0.402832,0.302734,0.392285,0.514985,-0.338056,0.683096
19783,,9.656544,-0.690779,2.327013,0.050924,0.039730,0.021710,0.994629,-0.400879,0.309082,0.392051,0.514945,-0.337902,0.683337
19784,,9.596203,-0.623924,2.346720,0.051668,0.037753,0.020848,0.992432,-0.405273,0.302734,0.391868,0.514896,-0.337780,0.683540
19785,,9.581909,-0.644958,2.350796,0.056731,0.036895,0.017358,0.994629,-0.400879,0.307129,0.391594,0.514898,-0.337572,0.683797
19786,,9.586243,-0.619191,2.376677,0.058236,0.031466,0.013431,0.998779,-0.394043,0.306641,0.391409,0.514896,-0.337421,0.683980
19787,,9.548121,-0.623372,2.446509,0.062300,0.012478,0.016659,0.994385,-0.398682,0.311279,0.391157,0.514962,-0.337291,0.684138
19788,,9.577433,-0.614229,2.401940,0.057217,-0.011978,0.022957,0.996582,-0.398438,0.306885,0.390869,0.515090,-0.337253,0.684225
19789,,9.593843,-0.684824,2.344467,0.053689,-0.004398,0.028631,0.994385,-0.398682,0.309082,0.390552,0.515184,-0.337203,0.684360
19790,,9.566908,-0.668675,2.356956,0.068207,-0.007472,0.031843,0.992188,-0.398682,0.306885,0.390212,0.515303,-0.337140,0.684495
19791,,9.561497,-0.637317,2.346355,0.071190,-0.015348,0.028394,0.987793,-0.400879,0.306885,0.389835,0.515468,-0.337054,0.684629
19792,,9.550782,-0.601462,2.412503,0.070211,-0.009688,0.030121,0.994141,-0.391846,0.300049,0.389492,0.515602,-0.336984,0.684757
19793,,9.502602,-0.630030,2.348542,0.072098,-0.003467,0.024356,0.999023,-0.398438,0.309082,0.389185,0.515718,-0.336891,0.684890
19794,,9.545301,-0.570368,2.402191,0.071052,-0.006986,0.024385,0.996826,-0.403076,0.311523,0.388864,0.515854,-0.336799,0.685016
19795,,9.561315,-0.581936,2.357648,0.066931,0.002796,0.019426,0.992188,-0.394043,0.306641,0.388549,0.515966,-0.336660,0.685178
19796,,9.579787,-0.535757,2.380094,0.064928,0.003471,0.018972,0.992432,-0.403076,0.309326,0.388280,0.516063,-0.336554,0.685309
19797,,9.563667,-0.583668,2.413387,0.060817,0.000139,0.022954,0.996582,-0.398438,0.306885,0.387986,0.516158,-0.336467,0.685447
19798,,9.563498,-0.584294,2.413905,0.051353,0.003840,0.018441,0.994629,-0.403076,0.309326,0.387755,0.516228,-0.336406,0.685555
19799,,9.643849,-0.638326,2.376566,0.048199,-0.003673,0.022910,0.999023,-0.398438,0.302490,0.387474,0.516317,-0.336361,0.685669
19800,,9.608954,-0.615826,2.411358,0.047476,-0.004705,0.019386,0.992188,-0.398682,0.304688,0.387235,0.516407,-0.336332,0.685750
19801,,9.526021,-0.620844,2.381887,0.044890,-0.016450,0.015072,0.992188,-0.398682,0.306885,0.387012,0.516530,-0.336337,0.685782
19802,,9.558588,-0.612833,2.389611,0.044811,-0.025644,0.013403,0.994629,-0.400879,0.309082,0.386764,0.516696,-0.336341,0.685794
19803,,9.476101,-0.617430,2.358444,0.047772,-0.032036,0.012171,0.992432,-0.405518,0.309326,0.386488,0.516894,-0.336334,0.685804
19804,,9.490274,-0.597016,2.354851,0.048422,-0.041709,0.011845,0.994629,-0.400879,0.304932,0.386209,0.517125,-0.336353,0.685777
19805,,9.477879,-0.617447,2.351281,0.044332,-0.048025,0.011451,0.996826,-0.400879,0.302734,0.385881,0.517387,-0.336363,0.685760
19806,,9.580722,-0.624975,2.385997,0.035485,-0.034869,0.006386,0.994629,-0.400879,0.307129,0.385666,0.517579,-0.336399,0.685718
19807,,9.575867,-0.592265,2.373579,0.032183,-0.014851,0.006575,0.996826,-0.403076,0.302734,0.385480,0.517696,-0.336401,0.685733
19808,,9.586904,-0.598279,2.404904,0.026820,-0.006324,0.000256,0.994629,-0.407715,0.305176,0.385356,0.517784,-0.336396,0.685739
