// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.3.4
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Quat_q0,Quat_q1,Quat_q2,Quat_q3
19741,,9.923739,-0.224344,0.220435,-0.021076,0.034796,-0.003985,1.134766,0.239990,-0.007324,-0.564211,0.440360,0.537604,0.445792
19742,,9.965672,-0.209852,0.303780,-0.012719,0.035026,-0.008258,1.139160,0.242188,-0.002930,-0.564174,0.440304,0.537587,0.445914
19743,,9.948215,-0.200431,0.292513,-0.016140,0.035953,-0.006421,1.134766,0.239990,-0.005127,-0.564139,0.440258,0.537561,0.446035
19744,,9.948120,-0.199643,0.296277,-0.012869,0.040285,-0.010266,1.134766,0.239990,-0.000732,-0.564112,0.440186,0.537534,0.446175
19745,,9.930671,-0.189943,0.285268,-0.011814,0.036127,-0.009887,1.139160,0.242188,-0.007324,-0.564076,0.440122,0.537520,0.446300
19746,,9.939731,-0.247713,0.323987,0.000862,0.034565,-0.008940,1.139160,0.244385,-0.002930,-0.564067,0.440027,0.537536,0.446386
19747,,9.952180,-0.237858,0.237539,0.024609,0.037314,-0.010786,1.143555,0.244629,-0.000732,-0.564116,0.439849,0.537609,0.446411
19748,,9.977880,-0.183735,0.322590,0.045530,0.030588,-0.009436,1.139160,0.244385,-0.002930,-0.564193,0.439635,0.537737,0.446370
19749,,9.987454,-0.090387,0.409144,0.047711,0.036359,-0.011333,1.139160,0.246826,-0.003174,-0.564287,0.439396,0.537861,0.446338
19750,,9.893846,-0.053384,0.462630,0.022253,0.034069,-0.008583,1.143555,0.246826,-0.000977,-0.564324,0.439243,0.537925,0.446364
19751,,9.908503,-0.121926,0.448173,0.003215,0.035052,-0.008855,1.139160,0.244385,-0.007568,-0.564325,0.439133,0.537952,0.446438
19752,,9.953206,-0.190505,0.358324,-0.009909,0.030357,-0.008837,1.139160,0.244385,-0.002930,-0.564281,0.439078,0.537955,0.446544
19753,,9.923015,-0.201593,0.349484,-0.005469,0.033955,-0.008285,1.141357,0.246826,-0.000977,-0.564260,0.439000,0.537965,0.446635
19754,,9.978544,-0.147582,0.359191,0.003448,0.032473,-0.009177,1.134521,0.242188,-0.007324,-0.564250,0.438901,0.537994,0.446710
19755,,9.946270,-0.068842,0.365329,-0.002650,0.030057,-0.002475,1.138916,0.246826,-0.000977,-0.564238,0.438840,0.538006,0.446770
19756,,9.973789,-0.117268,0.347954,-0.013755,0.036401,-0.006371,1.136719,0.246582,-0.000977,-0.564207,0.438789,0.537979,0.446893
19757,,9.953048,-0.048583,0.335325,-0.013485,0.034553,-0.000352,1.132080,0.248779,-0.003174,-0.564188,0.438753,0.537949,0.446988
19758,,9.918335,-0.031108,0.309072,-0.024433,0.035634,-0.002241,1.134277,0.248779,0.001221,-0.564140,0.438745,0.537891,0.447126
19759,,9.973547,-0.128960,0.271200,-0.035399,0.034738,0.004542,1.139160,0.244385,0.003662,-0.564090,0.438775,0.537808,0.447261
19760,,9.952412,-0.199905,0.297811,-0.019223,0.034946,0.001359,1.132324,0.246582,-0.005371,-0.564060,0.438763,0.537756,0.447373
19761,,9.943101,-0.129595,0.353335,0.005968,0.037101,0.001310,1.138916,0.249023,0.001221,-0.564093,0.438673,0.537757,0.447418
19762,,9.933747,-0.059203,0.409027,0.002825,0.038157,0.000480,1.136963,0.242188,-0.000732,-0.564118,0.438590,0.537747,0.447480
19763,,9.915142,-0.081146,0.381408,-0.007039,0.035813,0.005310,1.136719,0.246582,0.001221,-0.564126,0.438554,0.537710,0.447549
19764,,9.919500,-0.110998,0.402235,-0.015909,0.028611,0.004183,1.136719,0.244385,0.001465,-0.564093,0.438555,0.537677,0.447630
19765,,9.954187,-0.140792,0.348111,-0.011283,0.038310,0.006424,1.132080,0.248779,-0.000977,-0.564100,0.438528,0.537621,0.447714
19766,,9.971312,-0.150136,0.366417,-0.001124,0.030135,0.005616,1.139160,0.244385,-0.000732,-0.564107,0.438488,0.537613,0.447755
19767,,9.985141,-0.099685,0.383215,0.012225,0.032258,0.005310,1.136719,0.249023,-0.003174,-0.564151,0.438400,0.537636,0.447758
19768,,9.934446,-0.043855,0.357999,0.008723,0.030489,0.009464,1.136719,0.244385,-0.000732,-0.564188,0.438341,0.537640,0.447762
19769,,9.925991,-0.094834,0.381274,0.008653,0.027793,0.011796,1.136719,0.244385,-0.002930,-0.564228,0.438290,0.537655,0.447746
19770,,9.954740,-0.114398,0.379883,0.015026,0.028360,0.011128,1.139160,0.244385,-0.000732,-0.564277,0.438223,0.537676,0.447724
19771,,9.959510,-0.156805,0.313103,0.025691,0.027135,0.015694,1.136719,0.246582,0.001221,-0.564356,0.438143,0.537716,0.447654
19772,,9.990582,-0.115984,0.344518,0.046241,0.028237,0.015442,1.139160,0.246826,-0.005371,-0.564483,0.438000,0.537798,0.447535
19773,,9.962768,-0.068569,0.367777,0.050223,0.025584,0.016986,1.138916,0.246826,-0.000977,-0.564619,0.437851,0.537900,0.447388
19774,,9.931479,-0.112521,0.341726,0.053098,0.024377,0.020472,1.139160,0.244385,-0.000732,-0.564762,0.437710,0.537997,0.447228
19775,,9.901966,-0.084058,0.435599,0.067620,0.025740,0.024573,1.138916,0.249023,0.003418,-0.564950,0.437538,0.538116,0.447017
19776,,9.959550,-0.123122,0.429816,0.057104,0.021703,0.022013,1.136719,0.246582,-0.000977,-0.565097,0.437396,0.538226,0.446837
19777,,9.907847,-0.099061,0.386988,0.053892,0.020064,0.023510,1.141602,0.239990,-0.002930,-0.565240,0.437266,0.538334,0.446653
19778,,9.918230,-0.141525,0.353603,0.050677,0.018429,0.025007,1.141357,0.246826,-0.005371,-0.565371,0.437158,0.538432,0.446474
19779,,9.965934,-0.152705,0.295851,0.064763,0.024168,0.023401,1.134521,0.248779,-0.005371,-0.565544,0.436997,0.538551,0.446270
19780,,10.003165,-0.123818,0.273940,0.065516,0.028540,0.028427,1.138916,0.249023,-0.000977,-0.565743,0.436833,0.538646,0.446063
19781,,9.933161,-0.122399,0.201258,0.053865,0.043282,0.031754,1.139160,0.246826,-0.005371,-0.565972,0.436664,0.538681,0.445896
19782,,9.996192,-0.161346,0.231525,0.058968,0.039161,0.031368,1.136719,0.249023,-0.003174,-0.566191,0.436503,0.538725,0.445721
19783,,9.958632,-0.195501,0.260577,0.066492,0.046880,0.030732,1.141357,0.244629,0.001465,-0.566454,0.436289,0.538781,0.445530
19784,,9.952226,-0.187333,0.318482,0.059024,0.047765,0.033321,1.141357,0.244629,-0.002930,-0.566701,0.436114,0.538796,0.445369
19785,,9.952013,-0.190232,0.323373,0.079344,0.047895,0.029403,1.141357,0.244629,-0.000732,-0.566984,0.435871,0.538866,0.445162
19786,,9.941300,-0.152478,0.363504,0.096564,0.049809,0.030980,1.139160,0.244385,0.001465,-0.567313,0.435579,0.538964,0.444910
19787,,9.928509,-0.132437,0.474460,0.086032,0.045792,0.028417,1.141357,0.244629,-0.000732,-0.567602,0.435318,0.539056,0.444684
19788,,9.936960,-0.085434,0.458184,0.068916,0.044555,0.033156,1.139160,0.244385,0.001465,-0.567861,0.435122,0.539103,0.444490
19789,,9.904319,-0.161111,0.418221,0.062512,0.043264,0.027470,1.141357,0.246826,-0.003174,-0.568091,0.434930,0.539153,0.444323
19790,,9.915807,-0.173570,0.403734,0.059383,0.044316,0.026617,1.141357,0.242188,-0.000732,-0.568314,0.434743,0.539194,0.444172
19791,,9.927502,-0.142722,0.492223,0.050566,0.040601,0.029491,1.134521,0.246582,-0.000977,-0.568517,0.434593,0.539225,0.444021
19792,,9.941911,-0.215170,0.479449,0.036337,0.040148,0.029041,1.145996,0.240234,-0.000732,-0.568684,0.434487,0.539220,0.443916
19793,,9.926880,-0.191561,0.397281,0.044488,0.040167,0.027484,1.141357,0.244629,0.001465,-0.568866,0.434353,0.539241,0.443788
19794,,9.953769,-0.122559,0.411669,0.044311,0.042705,0.027782,1.141357,0.242188,0.001465,-0.569055,0.434215,0.539250,0.443670
19795,,9.936515,-0.116615,0.400757,0.036192,0.042659,0.029330,1.136719,0.246582,0.003662,-0.569229,0.434106,0.539237,0.443569
19796,,9.927422,-0.168967,0.425959,0.026831,0.040663,0.028823,1.141357,0.242188,0.005859,-0.569376,0.434025,0.539211,0.443492
19797,,9.925991,-0.202110,0.413914,0.026713,0.037237,0.024840,1.139160,0.242188,0.001465,-0.569505,0.433941,0.539202,0.443419
19798,,9.925784,-0.204671,0.417610,0.037435,0.035934,0.029451,1.143555,0.244629,0.008057,-0.569664,0.433842,0.539211,0.443301
19799,,9.955568,-0.195357,0.433581,0.043543,0.035563,0.025123,1.141602,0.237793,-0.005127,-0.569824,0.433718,0.539241,0.443181
19800,,9.944832,-0.157030,0.471832,0.043456,0.032880,0.027475,1.141357,0.244629,0.003662,-0.569983,0.433603,0.539276,0.443045
19801,,9.970620,-0.118693,0.469356,0.029820,0.033444,0.028032,1.136719,0.244385,0.001465,-0.570116,0.433529,0.539281,0.442941
19802,,9.927436,-0.153623,0.463387,0.019443,0.035597,0.027089,1.141357,0.244629,-0.000732,-0.570229,0.433476,0.539256,0.442877
19803,,9.931053,-0.108534,0.411854,0.006747,0.038007,0.032346,1.136963,0.239990,0.006104,-0.570339,0.433458,0.539195,0.442827
19804,,9.962318,-0.190100,0.414484,-0.009756,0.039783,0.029387,1.143799,0.242432,0.008057,-0.570406,0.433486,0.539088,0.442845
19805,,9.906068,-0.245900,0.411754,-0.017083,0.038187,0.031652,1.136963,0.239990,-0.000732,-0.570453,0.433550,0.538957,0.442880
19806,,9.972428,-0.236881,0.387257,-0.014566,0.035374,0.025151,1.139160,0.242188,0.003662,-0.570488,0.433589,0.538862,0.442913
19807,,9.962926,-0.167887,0.441656,0.001363,0.040485,0.022676,1.134521,0.246582,0.001221,-0.570568,0.433562,0.538797,0.442915
19808,,9.939240,-0.072853,0.409625,-0.004974,0.034767,0.025369,1.136963,0.237793,-0.000488,-0.570623,0.433576,0.538724,0.442920
19809,,9.911451,-0.102946,0.505744,-0.018133,0.032918,0.022958,1.143799,0.237793,0.006104,-0.570645,0.433615,0.538644,0.442951
19810,,9.921825,-0.146282,0.473903,-0.023667,0.025626,0.026379,1.141357,0.242188,0.003662,-0.570636,0.433705,0.538554,0.442983
19811,,9.942760,-0.230435,0.406997,-0.009094,0.026119,0.024217,1.138916,0.246826,0.005859,-0.570653,0.433752,0.538495,0.442987
19812,,9.946442,-0.261928,0.427794,0.009252,0.026497,0.023946,1.141602,0.239990,0.001465,-0.570713,0.433739,0.538480,0.442940
19813,,9.984220,-0.233553,0.405891,0.018209,0.024922,0.023149,1.143799,0.242432,-0.000732,-0.570791,0.433694,0.538499,0.442860
19814,,9.982787,-0.145519,0.421717,0.024885,0.017641,0.024280,1.136963,0.237793,-0.000488,-0.570862,0.433658,0.538543,0.442751
19815,,9.951028,-0.146330,0.498623,0.003587,0.029636,0.023240,1.139404,0.235596,-0.000488,-0.570920,0.433648,0.538517,0.442717
19816,,9.940705,-0.151798,0.433228,-0.018020,0.027682,0.024993,1.139404,0.235596,-0.000488,-0.570927,0.433714,0.538436,0.442743
19817,,9.898763,-0.156001,0.442007,-0.037095,0.023666,0.026579,1.141602,0.239990,0.008301,-0.570882,0.433854,0.538320,0.442805
19818,,9.928527,-0.267829,0.427192,-0.042285,0.024379,0.022928,1.139404,0.237793,-0.000488,-0.570822,0.433990,0.538200,0.442894
19819,,9.923329,-0.271425,0.395195,-0.032553,0.020489,0.016538,1.141602,0.239990,0.008301,-0.570758,0.434093,0.538125,0.442967
19820,,9.937593,-0.222368,0.410268,-0.015432,0.019644,0.020561,1.143799,0.239990,0.003662,-0.570738,0.434157,0.538082,0.442981
19821,,9.931987,-0.181979,0.480683,-0.018368,0.012241,0.015124,1.143799,0.242432,0.005859,-0.570679,0.434234,0.538064,0.443005
19822,,9.945000,-0.163297,0.479360,-0.022167,0.018299,0.017505,1.136963,0.239990,-0.000732,-0.570635,0.434312,0.538017,0.443043
19823,,9.923683,-0.204334,0.520643,-0.019162,0.013811,0.014393,1.134766,0.237549,0.001709,-0.570582,0.434377,0.538004,0.443064
19824,,9.903019,-0.168000,0.488196,-0.025221,0.008228,0.014418,1.136719,0.244385,0.001465,-0.570497,0.434477,0.537985,0.443097
19825,,9.932930,-0.157865,0.501509,-0.035405,0.007856,0.013146,1.139404,0.237793,0.003906,-0.570392,0.434594,0.537960,0.443148
19826,,9.925253,-0.221932,0.436004,-0.046505,0.006389,0.013494,1.134766,0.237549,0.003906,-0.570253,0.434757,0.537902,0.443237
19827,,9.933311,-0.204640,0.399555,-0.045992,0.004679,0.016872,1.139404,0.237793,0.001709,-0.570118,0.434934,0.537841,0.443311
19828,,9.930654,-0.267180,0.367728,-0.035356,0.001901,0.008864,1.139160,0.242188,0.005859,-0.569982,0.435063,0.537830,0.443373
19829,,9.961899,-0.226108,0.396744,-0.025522,0.007358,0.010738,1.139160,0.242188,0.003662,-0.569887,0.435154,0.537824,0.443413
19830,,9.956845,-0.228481,0.363092,-0.020180,0.003364,0.007760,1.141602,0.239990,0.001465,-0.569785,0.435234,0.537846,0.443440
19831,,9.939969,-0.220727,0.348165,-0.012817,0.005664,0.011849,1.134766,0.237549,-0.000488,-0.569717,0.435292,0.537874,0.443435
19832,,9.944925,-0.220574,0.383019,-0.004235,0.009186,0.011668,1.143799,0.239990,0.003662,-0.569674,0.435324,0.537905,0.443422
19833,,9.944870,-0.221650,0.383825,-0.005483,0.007249,0.009609,1.143799,0.239990,0.001465,-0.569619,0.435357,0.537946,0.443409
19834,,9.978472,-0.240338,0.415414,-0.006753,0.011243,0.011831,1.139160,0.239990,-0.002930,-0.569577,0.435392,0.537966,0.443406
