// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.3.4
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Quat_q0,Quat_q1,Quat_q2,Quat_q3
19741,,9.827391,1.434735,0.055291,0.024432,0.012045,0.003956,1.046631,0.485840,0.037109,-0.372076,0.539481,0.451602,0.605455
19742,,9.765499,1.445508,0.134894,0.010210,0.013711,0.001980,1.053467,0.490479,0.036865,-0.372135,0.539461,0.451596,0.605441
19743,,9.749732,1.429972,0.126233,-0.004215,0.018709,-0.003972,1.048828,0.488281,0.041260,-0.372139,0.539446,0.451543,0.605491
19744,,9.732357,1.437578,0.144532,-0.020887,0.030268,-0.006742,1.049072,0.486084,0.039063,-0.372125,0.539414,0.451435,0.605608
19745,,9.644304,1.423628,0.247161,-0.051181,0.019425,-0.013710,1.049072,0.481689,0.037109,-0.371969,0.539467,0.451258,0.605790
19746,,9.681694,1.365472,0.166129,-0.047120,0.014679,-0.018537,1.051270,0.488281,0.034912,-0.371814,0.539504,0.451131,0.605946
19747,,9.634218,1.393353,0.141938,-0.050589,0.003282,-0.018227,1.044434,0.485840,0.041260,-0.371640,0.539574,0.451026,0.606068
19748,,9.812208,1.402954,0.032014,-0.032358,0.002108,-0.020848,1.049072,0.486084,0.041260,-0.371489,0.539617,0.450975,0.606161
19749,,9.804811,1.422288,0.017426,-0.014671,0.011841,-0.019170,1.046631,0.483643,0.041260,-0.371406,0.539607,0.450943,0.606245
19750,,9.858761,1.453676,0.065753,-0.010643,0.024681,-0.019098,1.049072,0.486084,0.039063,-0.371369,0.539545,0.450911,0.606346
19751,,9.786226,1.455997,0.178749,-0.008694,0.036326,-0.018825,1.044189,0.490234,0.039063,-0.371372,0.539442,0.450862,0.606473
19752,,9.818939,1.466025,0.176789,-0.010995,0.032243,-0.010822,1.044434,0.483643,0.039307,-0.371377,0.539376,0.450792,0.606580
19753,,9.754254,1.500013,0.169922,-0.008461,0.029473,-0.005601,1.044189,0.490234,0.043457,-0.371400,0.539324,0.450722,0.606665
19754,,9.764341,1.510789,0.141744,-0.012421,0.031683,-0.003523,1.051270,0.488281,0.041260,-0.371422,0.539279,0.450628,0.606760
19755,,9.720860,1.565297,0.187243,-0.021368,0.038615,-0.005156,1.044434,0.485840,0.045654,-0.371411,0.539239,0.450480,0.606913
19756,,9.769334,1.590237,0.196410,-0.036682,0.040072,-0.010406,1.051270,0.486084,0.049805,-0.371365,0.539199,0.450316,0.607098
19757,,9.709896,1.630247,0.232935,-0.052404,0.048193,-0.023589,1.044189,0.490234,0.047607,-0.371237,0.539146,0.450100,0.607383
19758,,9.636908,1.632497,0.347680,-0.067820,0.036299,-0.021518,1.051025,0.490479,0.047607,-0.371065,0.539150,0.449878,0.607649
19759,,9.743707,1.620101,0.211205,-0.093445,0.030952,-0.019068,1.044189,0.488037,0.049805,-0.370784,0.539246,0.449547,0.607981
19760,,9.642882,1.545189,0.252577,-0.103091,0.031001,-0.016020,1.046631,0.488037,0.047607,-0.370522,0.539343,0.449213,0.608301
19761,,9.753101,1.560639,0.068433,-0.085077,0.014618,-0.015519,1.051025,0.490479,0.043213,-0.370252,0.539471,0.448939,0.608554
19762,,9.787808,1.475248,0.034304,-0.074638,0.015365,-0.016719,1.046631,0.488037,0.049805,-0.370029,0.539561,0.448723,0.608769
19763,,9.784370,1.448770,0.083703,-0.066396,0.017433,-0.014964,1.044189,0.492432,0.043213,-0.369825,0.539643,0.448507,0.608980
19764,,9.780917,1.422270,0.133175,-0.048209,0.021530,-0.017311,1.046631,0.490234,0.045410,-0.369685,0.539664,0.448361,0.609153
19765,,9.767223,1.384780,0.213428,-0.027639,0.014722,-0.006917,1.044434,0.485840,0.041260,-0.369604,0.539698,0.448253,0.609252
19766,,9.736202,1.280732,0.188708,-0.019617,0.013889,0.002621,1.044434,0.485840,0.045654,-0.369585,0.539734,0.448155,0.609304
19767,,9.746574,1.290619,0.158385,0.006130,0.002559,0.011429,1.046631,0.483643,0.050049,-0.369659,0.539762,0.448150,0.609237
19768,,9.772371,1.388656,0.143641,0.023255,0.010874,0.012794,1.049072,0.486084,0.047852,-0.369780,0.539751,0.448160,0.609166
19769,,9.665053,1.400886,0.284804,0.019553,0.000112,0.011596,1.046631,0.483643,0.052002,-0.369868,0.539775,0.448180,0.609077
19770,,9.767426,1.454090,0.221925,0.019422,-0.001768,0.007386,1.048828,0.490479,0.049805,-0.369934,0.539798,0.448216,0.608991
19771,,9.764042,1.498459,0.273781,0.017654,-0.000887,0.006510,1.044189,0.488037,0.049805,-0.369978,0.539830,0.448226,0.608928
19772,,9.762361,1.520643,0.299453,0.015191,-0.003332,0.001045,1.048828,0.490479,0.043213,-0.370009,0.539851,0.448269,0.608858
