// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.3.4
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Quat_q0,Quat_q1,Quat_q2,Quat_q3
19741,,4.556633,-1.497001,8.665026,-0.001279,0.026166,-0.013436,0.368164,0.080078,1.148438,-0.651615,0.228574,0.098110,0.716607
19742,,4.562581,-1.568929,8.660486,0.000039,0.025694,-0.017722,0.370361,0.080078,1.146240,-0.651609,0.228567,0.098123,0.716614
19743,,4.544759,-1.507814,8.707084,-0.000621,0.025927,-0.015577,0.368408,0.080078,1.154785,-0.651622,0.228562,0.098139,0.716601
19744,,4.562872,-1.534994,8.673768,-0.000164,0.029399,-0.017554,0.368408,0.077881,1.150635,-0.651618,0.228542,0.098139,0.716611
19745,,4.575142,-1.515859,8.668641,-0.002024,0.028271,-0.013026,0.370605,0.077637,1.146484,-0.651641,0.228534,0.098137,0.716593
19746,,4.582876,-1.529390,8.652710,-0.002852,0.032260,-0.014360,0.370361,0.080078,1.146240,-0.651646,0.228515,0.098114,0.716597
19747,,4.545372,-1.519846,8.695115,-0.006081,0.033528,-0.010931,0.361816,0.077637,1.146484,-0.651666,0.228505,0.098078,0.716588
19748,,4.559577,-1.527248,8.712515,-0.000861,0.029576,-0.011755,0.368164,0.080078,1.148438,-0.651681,0.228490,0.098068,0.716580
19749,,4.543814,-1.539432,8.647349,-0.002935,0.034129,-0.016092,0.368408,0.077637,1.146484,-0.651685,0.228462,0.098044,0.716588
19750,,4.566970,-1.566509,8.720447,-0.005094,0.027745,-0.015139,0.368408,0.075439,1.142334,-0.651683,0.228466,0.098029,0.716591
19751,,4.552263,-1.526057,8.716547,-0.001485,0.029850,-0.013249,0.368164,0.079834,1.146240,-0.651681,0.228456,0.098016,0.716598
19752,,4.536795,-1.538266,8.651241,-0.002024,0.028253,-0.013010,0.366211,0.077637,1.148438,-0.651690,0.228449,0.098008,0.716593
19753,,4.526575,-1.550060,8.692183,-0.003269,0.028815,-0.016011,0.365967,0.079834,1.148438,-0.651692,0.228443,0.098001,0.716595
19754,,4.555633,-1.538622,8.703096,-0.000118,0.027449,-0.012144,0.365967,0.079834,1.144043,-0.651706,0.228433,0.098001,0.716585
19755,,4.567865,-1.519552,8.698013,-0.002107,0.030122,-0.014742,0.368164,0.079834,1.144043,-0.651718,0.228417,0.097994,0.716580
19756,,4.534421,-1.530028,8.689550,-0.003062,0.025101,-0.016172,0.374756,0.080078,1.146240,-0.651713,0.228423,0.097996,0.716582
19757,,4.549070,-1.537178,8.706783,-0.002647,0.028523,-0.014501,0.368408,0.075439,1.146484,-0.651727,0.228418,0.097995,0.716571
19758,,4.576015,-1.499452,8.695265,0.001291,0.025094,-0.014681,0.368408,0.077637,1.144287,-0.651732,0.228411,0.098011,0.716567
19759,,4.559428,-1.517661,8.702769,-0.008825,0.027442,-0.015110,0.366211,0.077881,1.155029,-0.651715,0.228432,0.097983,0.716579
