cmd,v0,v1,v2,cmt
load,S01-Trial-FigureofEight-1-imuStepDetect.csv,,,
clear,L,8,9,doublefoot
clear,L,219,229,velThreshL
clear,L,341,346,velThreshL
clear,L,462,473,velThreshL
clear,L,587,593,velThreshL
clear,L,1320,1326,velThreshL
clear,L,1681,1689,velThreshL
clear,L,2689,2690,velThreshL
clear,L,3900,3907,velThreshL
clear,L,4023,4033,velThreshL
clear,L,4148,4162,velThreshL
clear,L,5146,5157,velThreshL
clear,L,5272,5278,velThreshL
clear,L,75,76,shortFrameThreshL
clear,L,217,219,shortFrameThreshL
clear,L,1676,1677,shortFrameThreshL
clear,L,1678,1679,shortFrameThreshL
clear,L,4021,4023,shortFrameThreshL
clear,L,4147,4148,shortFrameThreshL
clear,L,5269,5272,shortFrameThreshL
clear,R,1888,1889,velThreshR
clear,R,2253,2256,velThreshR
clear,R,3127,3129,velThreshR
clear,R,3226,3229,velThreshR
clear,R,4489,4491,velThreshR
clear,R,4868,4870,velThreshR
clear,R,5999,6000,velThreshR
clear,R,6251,6254,velThreshR
save,S01-Trial-FigureofEight-1-revStepDetect.csv,,,
load,S01-Trial-FigureofEight-2-imuStepDetect.csv,,,
clear,L,198,202,velThreshL
clear,L,319,327,velThreshL
clear,L,565,576,velThreshL
clear,L,690,692,velThreshL
clear,L,1419,1426,velThreshL
clear,L,1545,1547,velThreshL
clear,L,1670,1679,velThreshL
clear,L,2672,2676,velThreshL
clear,L,2795,2805,velThreshL
clear,L,4062,4063,velThreshL
clear,L,4308,4315,velThreshL
clear,L,4434,4437,velThreshL
clear,L,5567,5572,velThreshL
clear,L,5826,5832,velThreshL
clear,L,316,319,shortFrameThreshL
clear,L,564,565,shortFrameThreshL
clear,L,688,690,shortFrameThreshL
clear,L,1414,1419,shortFrameThreshL
clear,L,2670,2672,shortFrameThreshL
clear,L,5821,5826,shortFrameThreshL
clear,R,3749,3751,velThreshR
clear,R,4779,4780,velThreshR
clear,R,4907,4908,velThreshR
clear,R,6296,6297,velThreshR
clear,R,3744,3749,shortFrameThreshR
save,S01-Trial-FigureofEight-2-revStepDetect.csv,,,
load,S01-Trial-Fivemin-1-imuStepDetect.csv,,,
clear,R,28,43,doublefoot
clear,R,195,204,doublefoot
clear,L,560,565,doublefoot
clear,R,601,619,doublefoot
clear,R,652,667,doublefoot
clear,L,730,753,doublefoot
clear,R,1099,1110,doublefoot
clear,L,1172,1179,doublefoot
clear,R,1250,1252,doublefoot
clear,R,1392,1394,doublefoot
clear,L,1448,1460,doublefoot
clear,R,1537,1556,doublefoot
clear,L,1619,1623,doublefoot
clear,R,1704,1716,doublefoot
clear,L,1919,1937,doublefoot
clear,R,1976,1980,doublefoot
clear,R,2014,2039,doublefoot
clear,L,2097,2125,doublefoot
clear,R,2193,2208,doublefoot
clear,R,2221,2227,doublefoot
clear,R,2231,2242,doublefoot
clear,L,2301,2305,doublefoot
clear,L,2572,2577,doublefoot
clear,R,2773,2805,doublefoot
clear,R,2837,2843,doublefoot
clear,L,2903,2918,doublefoot
clear,R,3097,3143,doublefoot
clear,L,3183,3184,doublefoot
clear,L,3214,3226,doublefoot
clear,R,3302,3321,doublefoot
clear,R,3595,3627,doublefoot
clear,L,3662,3666,doublefoot
clear,L,3704,3713,doublefoot
clear,R,3780,3787,doublefoot
clear,R,3926,3941,doublefoot
clear,R,3942,3943,doublefoot
clear,L,4004,4020,doublefoot
clear,L,4154,4155,doublefoot
clear,R,4230,4235,doublefoot
clear,R,4367,4372,doublefoot
clear,R,4520,4528,doublefoot
clear,L,4603,4604,doublefoot
clear,R,4673,4712,doublefoot
clear,L,4771,4785,doublefoot
