// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.3.4
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Quat_q0,Quat_q1,Quat_q2,Quat_q3
27626,,8.696773,0.341363,4.715198,0.015417,0.009366,-0.011596,0.886719,0.420898,0.468506,0.651925,-0.318177,-0.399341,-0.560611
27627,,8.724774,0.317438,4.676804,0.017980,0.004208,-0.011163,0.893555,0.423340,0.472900,0.651917,-0.318169,-0.399409,-0.560576
27628,,8.698499,0.298673,4.686826,0.015361,0.002602,-0.008422,0.893311,0.425537,0.468506,0.651891,-0.318190,-0.399464,-0.560555
27629,,8.722286,0.333004,4.698218,0.012704,0.006717,-0.007014,0.895508,0.427979,0.466064,0.651891,-0.318201,-0.399503,-0.560521
27630,,8.695865,0.313813,4.708542,0.012704,0.006716,-0.007013,0.893555,0.423340,0.470703,0.651871,-0.318221,-0.399536,-0.560509
27631,,8.697337,0.335845,4.696631,0.011385,0.007343,-0.005975,0.893555,0.423340,0.464111,0.651874,-0.318237,-0.399567,-0.560475
27632,,8.696802,0.370380,4.705424,0.011404,0.004483,-0.005308,0.893555,0.421143,0.470703,0.651854,-0.318271,-0.399602,-0.560454
27633,,8.692982,0.329830,4.730632,0.010597,0.001736,-0.011457,0.891357,0.423340,0.464111,0.651829,-0.318293,-0.399658,-0.560430
27634,,8.692686,0.364810,4.738933,0.010616,-0.001124,-0.010789,0.893311,0.425537,0.461914,0.651782,-0.318335,-0.399717,-0.560419
27635,,8.692701,0.366016,4.738811,0.007889,-0.000909,-0.006880,0.891113,0.425537,0.466309,0.651760,-0.318383,-0.399767,-0.560382
27636,,8.698415,0.396222,4.692909,0.006771,-0.001060,-0.008851,0.889160,0.420898,0.464111,0.651711,-0.318440,-0.399813,-0.560373
27637,,8.672276,0.377032,4.702721,0.002081,0.001974,-0.014399,0.895752,0.423340,0.468506,0.651665,-0.318484,-0.399849,-0.560376
27638,,8.724773,0.352222,4.666722,-0.001473,0.002300,-0.017306,0.893555,0.423340,0.466309,0.651587,-0.318542,-0.399874,-0.560416
27639,,8.726119,0.407980,4.662791,-0.005227,0.003403,-0.017206,0.889160,0.418701,0.462158,0.651524,-0.318600,-0.399889,-0.560445
27640,,8.758367,0.358543,4.582760,0.002237,0.006912,-0.018735,0.893311,0.425537,0.464111,0.651459,-0.318630,-0.399913,-0.560487
27641,,8.729361,0.419899,4.630369,0.004066,0.002905,-0.026950,0.891357,0.423340,0.468506,0.651382,-0.318639,-0.399972,-0.560529
27642,,8.729317,0.422234,4.630239,0.006365,-0.005369,-0.021004,0.893555,0.423340,0.464111,0.651290,-0.318686,-0.400049,-0.560554
27643,,8.747953,0.394568,4.678484,0.006030,0.000088,-0.017494,0.897949,0.425781,0.461914,0.651237,-0.318716,-0.400107,-0.560557
27644,,8.749994,0.383861,4.657613,0.002586,-0.001410,-0.021568,0.893555,0.418701,0.468750,0.651147,-0.318762,-0.400164,-0.560595
27645,,8.751985,0.373324,4.636829,-0.000992,0.001770,-0.025140,0.893555,0.423340,0.466309,0.651065,-0.318795,-0.400209,-0.560640
27646,,8.746139,0.346209,4.682836,-0.004749,0.002870,-0.025039,0.893555,0.421143,0.459961,0.650962,-0.318847,-0.400234,-0.560712
27647,,8.749676,0.356549,4.650009,0.000075,0.007638,-0.024496,0.891113,0.425537,0.464111,0.650895,-0.318862,-0.400262,-0.560761
27648,,8.749206,0.358898,4.650713,-0.002076,0.008368,-0.030268,0.891357,0.423340,0.461914,0.650793,-0.318878,-0.400288,-0.560851
27649,,8.747028,0.340243,4.663818,-0.001224,0.005403,-0.022790,0.891357,0.421143,0.459961,0.650724,-0.318906,-0.400317,-0.560894
27650,,8.825456,0.336604,4.618351,-0.001225,0.005402,-0.022787,0.888916,0.427734,0.466064,0.650640,-0.318943,-0.400344,-0.560952
27651,,8.798620,0.351335,4.637188,0.004314,0.011888,-0.014269,0.890869,0.432373,0.465820,0.650617,-0.318951,-0.400354,-0.560967
27652,,8.772006,0.332179,4.648005,0.006550,0.012195,-0.010329,0.891357,0.423340,0.461914,0.650588,-0.318971,-0.400356,-0.560988
27653,,8.749389,0.321221,4.625305,0.009125,0.007045,-0.009895,0.888916,0.425537,0.461914,0.650575,-0.318986,-0.400389,-0.560971
27654,,8.720910,0.314767,4.656427,0.009325,0.006263,-0.012896,0.888916,0.425537,0.466064,0.650536,-0.319006,-0.400425,-0.560979
27655,,8.724756,0.291103,4.615509,0.006861,0.009592,-0.014496,0.893555,0.423340,0.466309,0.650511,-0.319013,-0.400450,-0.560986
27656,,8.691948,0.310147,4.688315,0.007087,0.005951,-0.016831,0.895752,0.425537,0.461914,0.650455,-0.319035,-0.400485,-0.561014
27657,,8.703257,0.337061,4.588906,0.008691,0.005579,-0.022697,0.891357,0.421143,0.464111,0.650403,-0.319030,-0.400542,-0.561037
27658,,8.703006,0.338958,4.589241,0.005707,0.002681,-0.013296,0.893311,0.430176,0.466064,0.650350,-0.319072,-0.400580,-0.561047
27659,,8.750962,0.373264,4.603164,0.005906,0.001898,-0.016296,0.888916,0.423340,0.464111,0.650303,-0.319100,-0.400630,-0.561049
27660,,8.795822,0.332129,4.633884,0.003068,0.003933,-0.011230,0.900146,0.423584,0.464111,0.650251,-0.319151,-0.400652,-0.561065
27661,,8.799761,0.308009,4.592903,0.004129,0.009804,-0.010591,0.891113,0.427734,0.470459,0.650234,-0.319174,-0.400662,-0.561064
27662,,8.774995,0.309292,4.591081,0.002609,0.011213,-0.006558,0.893555,0.421143,0.464111,0.650209,-0.319217,-0.400650,-0.561078
27663,,8.776611,0.297474,4.571268,0.007569,0.011309,-0.006516,0.888916,0.425537,0.464111,0.650212,-0.319232,-0.400659,-0.561059
27664,,8.801933,0.319155,4.562704,0.004156,0.016553,-0.013751,0.891113,0.427734,0.461670,0.650182,-0.319240,-0.400647,-0.561098
27665,,8.800847,0.354203,4.572132,0.010491,0.010308,-0.013408,0.888916,0.427734,0.461670,0.650168,-0.319235,-0.400679,-0.561095
27666,,8.778361,0.343059,4.549275,0.002665,0.005497,-0.005225,0.891357,0.423340,0.466309,0.650136,-0.319295,-0.400686,-0.561092
27667,,8.799836,0.389792,4.581340,0.000861,0.000759,-0.014497,0.895508,0.427979,0.461670,0.650085,-0.319346,-0.400723,-0.561097
27668,,8.771582,0.383005,4.611991,0.001777,0.001699,-0.009528,0.888916,0.425537,0.464111,0.650032,-0.319411,-0.400746,-0.561104
27669,,8.773585,0.371225,4.591457,-0.000775,0.003989,-0.009297,0.891113,0.427734,0.463867,0.649999,-0.319469,-0.400760,-0.561100
