// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.3.4
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Quat_q0,Quat_q1,Quat_q2,Quat_q3
27626,,9.652746,1.627589,-1.257754,0.013810,0.021403,-0.016080,0.834229,0.326904,-0.463867,0.642514,-0.042716,-0.751491,-0.143568
27627,,9.666098,1.620275,-1.295139,0.012175,0.020715,-0.013319,0.841309,0.322510,-0.463867,0.642519,-0.042715,-0.751491,-0.143548
27628,,9.720977,1.609879,-1.272230,0.014405,0.020881,-0.009322,0.836670,0.322510,-0.466064,0.642532,-0.042713,-0.751485,-0.143520
27629,,9.688645,1.654174,-1.275807,0.014408,0.020881,-0.009324,0.834473,0.320313,-0.461670,0.642541,-0.042720,-0.751485,-0.143480
27630,,9.666865,1.630360,-1.230499,0.006872,0.018997,-0.009543,0.834229,0.329102,-0.464111,0.642546,-0.042740,-0.751481,-0.143476
27631,,9.667775,1.576639,-1.231601,0.009137,0.022979,-0.008675,0.834229,0.324707,-0.468262,0.642562,-0.042764,-0.751469,-0.143453
27632,,9.703615,1.600986,-1.253049,0.014011,0.021808,-0.007947,0.838867,0.326904,-0.468262,0.642578,-0.042771,-0.751461,-0.143423
27633,,9.681442,1.569260,-1.266972,0.014614,0.020708,-0.007075,0.834229,0.326904,-0.466064,0.642589,-0.042785,-0.751460,-0.143375
27634,,9.667801,1.570905,-1.284994,0.007347,0.026277,-0.011305,0.834473,0.320313,-0.461670,0.642618,-0.042800,-0.751433,-0.143384
27635,,9.676422,1.605031,-1.287396,0.017674,0.018442,-0.011726,0.832031,0.326904,-0.470459,0.642617,-0.042789,-0.751443,-0.143339
27636,,9.717468,1.595596,-1.284642,0.016073,0.021568,-0.012098,0.838867,0.322510,-0.457275,0.642630,-0.042770,-0.751438,-0.143310
27637,,9.658733,1.595023,-1.272150,0.015670,0.022495,-0.010721,0.836670,0.324707,-0.463867,0.642645,-0.042766,-0.751434,-0.143270
27638,,9.685226,1.640747,-1.286356,0.020140,0.022253,-0.008610,0.836670,0.322510,-0.470215,0.642665,-0.042746,-0.751428,-0.143215
27639,,9.698300,1.695032,-1.261330,0.009159,0.022976,-0.008695,0.834473,0.322510,-0.463867,0.642682,-0.042770,-0.751417,-0.143192
27640,,9.645416,1.597638,-1.286666,0.006234,0.016863,-0.001413,0.832031,0.322266,-0.461670,0.642683,-0.042828,-0.751417,-0.143167
27641,,9.658571,1.651364,-1.261660,0.008136,0.025586,-0.002305,0.829834,0.322266,-0.461670,0.642714,-0.042878,-0.751395,-0.143129
27642,,9.677589,1.608749,-1.273916,0.013845,0.026959,-0.001577,0.832031,0.322266,-0.461670,0.642756,-0.042896,-0.751369,-0.143070
27643,,9.632797,1.606422,-1.240894,0.004466,0.024556,-0.001293,0.834473,0.320313,-0.465820,0.642782,-0.042963,-0.751348,-0.143042
27644,,9.669693,1.575581,-1.264870,0.008336,0.025414,-0.000055,0.839111,0.320313,-0.461670,0.642818,-0.043008,-0.751323,-0.143002
27645,,9.715374,1.585602,-1.233905,0.008339,0.025414,-0.000057,0.834473,0.322510,-0.468018,0.642850,-0.043066,-0.751301,-0.142955
27646,,9.711315,1.565075,-1.258963,0.007745,0.026513,-0.000936,0.838867,0.326904,-0.463867,0.642888,-0.043113,-0.751272,-0.142924
27647,,9.725132,1.556386,-1.295811,0.007510,0.022872,-0.000055,0.836670,0.322510,-0.466064,0.642910,-0.043175,-0.751258,-0.142879
27648,,9.693161,1.607668,-1.239948,0.008755,0.024486,-0.001441,0.834473,0.320313,-0.468018,0.642940,-0.043222,-0.751235,-0.142850
27649,,9.675401,1.588079,-1.285071,0.006152,0.029637,-0.001318,0.834717,0.313477,-0.463379,0.642986,-0.043279,-0.751199,-0.142816
27650,,9.685085,1.566950,-1.289766,0.009815,0.026270,-0.005084,0.834473,0.320313,-0.463623,0.643022,-0.043299,-0.751173,-0.142784
27651,,9.670956,1.630264,-1.245379,0.004080,0.025482,0.000069,0.834473,0.320313,-0.468018,0.643053,-0.043371,-0.751148,-0.142753
27652,,9.640540,1.564736,-1.254370,0.007762,0.026512,-0.000947,0.836670,0.324707,-0.466064,0.643092,-0.043416,-0.751119,-0.142720
27653,,9.677534,1.533911,-1.277971,0.012282,0.030082,-0.001970,0.834473,0.322510,-0.463867,0.643140,-0.043451,-0.751085,-0.142666
27654,,9.686400,1.567141,-1.279618,0.015968,0.031111,-0.002986,0.836670,0.320313,-0.461670,0.643196,-0.043463,-0.751047,-0.142613
27655,,9.718310,1.578336,-1.268407,0.014948,0.028740,-0.005237,0.839111,0.320313,-0.465820,0.643238,-0.043478,-0.751021,-0.142559
27656,,9.668256,1.610158,-1.259869,0.006772,0.028538,-0.000460,0.836914,0.320313,-0.470215,0.643284,-0.043528,-0.750984,-0.142529
27657,,9.669420,1.555817,-1.260314,0.009005,0.023726,-0.005091,0.841309,0.320313,-0.465820,0.643306,-0.043566,-0.750969,-0.142496
27658,,9.691858,1.588618,-1.241999,0.009494,0.031005,-0.006868,0.836914,0.315918,-0.469971,0.643356,-0.043586,-0.750927,-0.142481
27659,,9.656288,1.557442,-1.275427,0.008193,0.025583,-0.002341,0.839111,0.320313,-0.463623,0.643387,-0.043636,-0.750906,-0.142442
27660,,9.688158,1.576523,-1.205108,0.014969,0.028739,-0.005246,0.836426,0.326904,-0.461914,0.643432,-0.043642,-0.750875,-0.142397
27661,,9.696932,1.602226,-1.266263,0.009262,0.027365,-0.005988,0.836670,0.320313,-0.465820,0.643467,-0.043673,-0.750849,-0.142367
27662,,9.726279,1.484373,-1.288191,0.000934,0.026742,-0.009360,0.839111,0.320313,-0.465820,0.643498,-0.043714,-0.750816,-0.142390
27663,,9.702452,1.569715,-1.236820,0.021490,0.023859,-0.010006,0.832275,0.315674,-0.468018,0.643520,-0.043693,-0.750811,-0.142326
27664,,9.684668,1.558723,-1.223042,0.011750,0.026191,-0.011509,0.832275,0.315674,-0.463623,0.643550,-0.043687,-0.750788,-0.142311
27665,,9.661750,1.581637,-1.233991,0.018407,0.021732,-0.008119,0.836670,0.320313,-0.465820,0.643565,-0.043685,-0.750787,-0.142252
