// fs=100 nSamples=955
// frame=world
// origFName=data/neura-sparse01/rawimu/S02-Trial-Walk-1
// idx=1120,2074
ori_1,ori_2,ori_3,ori_4,acc_1,acc_2,acc_3,gyr_1,gyr_2,gyr_3,mag_1,mag_2,mag_3
-0.673706,-0.223647,0.070229,-0.700835,3.874653,2.170983,8.791269,0.034931,0.010229,-0.054502,0.604248,-0.176758,0.662842
-0.673729,-0.22373,0.07013,-0.700796,3.890991,2.20568,8.839221,0.0244,0.010888,-0.03481,0.595703,-0.179443,0.665039
-0.673747,-0.223799,0.070089,-0.700761,4.040558,2.058761,8.864131,0.015795,0.005212,-0.028096,0.604492,-0.179199,0.665039
-0.673745,-0.223882,0.070038,-0.700742,4.039545,2.061411,8.863977,0.01914,0.004991,-0.026422,0.602295,-0.181396,0.665283
-0.673735,-0.223981,0.069989,-0.700725,4.035317,2.052444,8.884804,0.021203,0.002024,-0.025601,0.599854,-0.177002,0.662842
-0.673731,-0.224089,0.069947,-0.700698,4.056965,2.061595,8.834951,0.021077,-0.000236,-0.027333,0.608643,-0.176758,0.665039
-0.673737,-0.22419,0.069896,-0.700665,4.065091,2.023606,8.869514,0.021588,0.00199,-0.027913,0.600098,-0.179199,0.665039
-0.673731,-0.224312,0.069867,-0.700635,4.049467,2.025992,8.838025,0.021215,-0.004215,-0.027063,0.602295,-0.179199,0.662842
-0.673727,-0.224491,0.069809,-0.700588,4.064628,2.030202,8.868219,0.032925,-0.00894,-0.030988,0.599854,-0.172607,0.669189
-0.6737,-0.22471,0.069739,-0.70055,4.064992,2.034679,8.867026,0.040909,-0.012857,-0.028245,0.602051,-0.177002,0.662842
-0.673684,-0.225021,0.069646,-0.700475,4.078171,2.011105,8.879184,0.057137,-0.023543,-0.032832,0.604492,-0.179199,0.667236
-0.673655,-0.225399,0.069527,-0.700392,4.10724,1.9897,8.921724,0.068727,-0.030548,-0.038501,0.604492,-0.179199,0.662842
-0.673636,-0.225839,0.069395,-0.700282,4.094306,1.997234,8.887841,0.077622,-0.039094,-0.046153,0.600098,-0.183838,0.665283
-0.673643,-0.226389,0.06926,-0.700111,4.107077,2.060229,8.858938,0.091297,-0.055908,-0.058506,0.602051,-0.174561,0.658447
-0.673624,-0.227011,0.069098,-0.699945,4.036392,2.057636,8.891566,0.105477,-0.063111,-0.057923,0.604248,-0.172363,0.664795
-0.673631,-0.227682,0.068942,-0.699735,4.075683,2.158948,8.82865,0.109878,-0.071999,-0.066398,0.604248,-0.172363,0.6604
-0.673568,-0.22847,0.068752,-0.699557,4.068597,2.219516,8.846958,0.13504,-0.082716,-0.053088,0.604004,-0.167969,0.666748
