// fs=100 nSamples=955
// frame=world
// origFName=data/neura-sparse01/rawimu/S02-Trial-Walk-1
// idx=1120,2074
ori_1,ori_2,ori_3,ori_4,acc_1,acc_2,acc_3,gyr_1,gyr_2,gyr_3,mag_1,mag_2,mag_3
0.328246,-0.6835,-0.320193,-0.567943,9.783587,-0.270587,-1.798891,0.22454,0.244582,-0.045029,0.721924,-0.239014,-0.581299
0.32916,-0.682558,-0.320381,-0.56844,9.870771,0.031456,-1.536424,0.178731,0.227241,-0.014259,0.726807,-0.25,-0.578613
0.329811,-0.681788,-0.320304,-0.56903,10.02789,-0.841728,-1.656398,0.094951,0.220979,-0.002643,0.724365,-0.240967,-0.572266
0.33053,-0.680928,-0.320207,-0.569696,9.918635,-0.856354,-1.436419,0.103246,0.24725,-0.003601,0.719971,-0.247803,-0.56958
0.331126,-0.680077,-0.32,-0.570483,9.877059,-0.861449,-1.449255,0.065485,0.26217,-0.009233,0.724365,-0.240967,-0.570068
0.331764,-0.679146,-0.319845,-0.571307,9.856308,-1.093503,-1.565105,0.080159,0.275536,-0.019812,0.726807,-0.247803,-0.567383
0.332546,-0.678058,-0.319852,-0.572141,9.82505,-1.118489,-1.445617,0.127902,0.293111,-0.035459,0.729004,-0.243164,-0.567627
0.333487,-0.676838,-0.320004,-0.572951,9.805008,-1.020785,-1.291145,0.176667,0.305806,-0.044435,0.722168,-0.243164,-0.560791
0.334444,-0.675568,-0.3202,-0.573783,9.84977,-0.904221,-1.24303,0.185431,0.312433,-0.052737,0.722168,-0.243164,-0.556396
0.335478,-0.674235,-0.320378,-0.574648,9.909104,-0.796765,-1.163972,0.19612,0.330368,-0.048063,0.724365,-0.243164,-0.553955
0.33649,-0.67292,-0.320417,-0.575574,9.96804,-0.689856,-1.083413,0.171798,0.344264,-0.034332,0.726563,-0.238525,-0.547607
0.337526,-0.671596,-0.32031,-0.576574,9.985866,-0.720408,-1.043329,0.154533,0.366777,-0.018122,0.722168,-0.243164,-0.544922
0.338734,-0.670217,-0.320112,-0.577578,9.969055,-0.668629,-0.958313,0.170081,0.390669,0.010892,0.721924,-0.238525,-0.540771
0.340094,-0.6688,-0.319798,-0.578595,10.019195,-0.602574,-0.977247,0.179351,0.414614,0.040096,0.721924,-0.238525,-0.538574
0.341663,-0.667351,-0.319308,-0.579612,10.021865,-0.436725,-1.058201,0.188575,0.443495,0.086181,0.719971,-0.245361,-0.53125
0.343399,-0.665966,-0.318547,-0.580598,10.071754,-0.194242,-1.094716,0.177426,0.461068,0.147502,0.713135,-0.245361,-0.526611
0.345244,-0.664689,-0.317355,-0.581619,10.104978,-0.036613,-1.085271,0.131812,0.489955,0.222581,0.717773,-0.245361,-0.52002
0.347171,-0.663561,-0.315678,-0.582671,10.195919,0.019807,-1.106843,0.07456,0.515307,0.303347,0.715576,-0.249756,-0.519775
0.349376,-0.662499,-0.313572,-0.583699,10.220705,0.061028,-1.096438,0.058019,0.551743,0.399116,0.713379,-0.25,-0.515137
0.351863,-0.661523,-0.310945,-0.584717,10.251654,0.06006,-1.054433,0.029442,0.594595,0.50658,0.713623,-0.256592,-0.510254
