// fs=100 nSamples=955
// frame=world
// origFName=data/neura-sparse01/rawimu/S02-Trial-Walk-1
// idx=1120,2074
ori_1,ori_2,ori_3,ori_4,acc_1,acc_2,acc_3,gyr_1,gyr_2,gyr_3,mag_1,mag_2,mag_3
-0.454032,-0.517893,0.540988,-0.482673,10.074149,-0.175389,-0.633379,0.278241,-0.010347,0.177029,0.978516,-0.360107,-0.143066
-0.452876,-0.518047,0.540867,-0.48373,10.248503,0.20789,-0.614935,0.258801,0.004464,0.191757,0.97876,-0.362549,-0.143066
-0.45198,-0.517931,0.540924,-0.484626,10.082379,0.291544,-1.12827,0.178141,0.024641,0.199213,0.976563,-0.366943,-0.140625
-0.451083,-0.517695,0.541192,-0.485415,9.877786,-0.042965,-1.295458,0.129983,0.007135,0.22471,0.976563,-0.366943,-0.140625
-0.450238,-0.51732,0.541553,-0.486196,9.989308,-0.203905,-1.444715,0.106941,0.015613,0.243147,0.971924,-0.369385,-0.133789
-0.449312,-0.517002,0.54183,-0.487081,9.960205,-0.462503,-1.502347,0.135098,0.021139,0.246246,0.967529,-0.371826,-0.138184
-0.448282,-0.51673,0.542006,-0.488121,9.902678,-0.659296,-1.40977,0.178188,0.028671,0.254291,0.974609,-0.378174,-0.140137
-0.447052,-0.516582,0.542065,-0.48934,9.789617,-0.749769,-1.347616,0.239292,0.025705,0.264834,0.972412,-0.378418,-0.142334
-0.445664,-0.516559,0.542036,-0.49066,9.827433,-0.699226,-1.029483,0.293433,0.013355,0.265592,0.968018,-0.383057,-0.133301
-0.444142,-0.516648,0.541945,-0.492045,9.838715,-0.54793,-0.945695,0.323234,0.001248,0.266961,0.965576,-0.383057,-0.140137
-0.44262,-0.51666,0.541964,-0.493381,9.8679,-0.457835,-0.781842,0.305574,-0.007276,0.281439,0.96582,-0.387451,-0.131104
-0.441079,-0.516632,0.542111,-0.494628,9.773775,-0.511633,-0.52633,0.276338,-0.02466,0.294051,0.968262,-0.391846,-0.137451
-0.439471,-0.516609,0.542397,-0.495768,9.646996,-0.694041,-0.354305,0.263361,-0.057328,0.304048,0.96582,-0.389648,-0.133057
-0.437621,-0.516743,0.542729,-0.4969,9.60594,-0.750609,-0.096636,0.291604,-0.102279,0.31603,0.959229,-0.394531,-0.137451
-0.435474,-0.517064,0.543116,-0.498028,9.621493,-0.566095,0.219157,0.338101,-0.159899,0.330184,0.964111,-0.407715,-0.13916
-0.433043,-0.517542,0.543665,-0.499051,9.568979,-0.316495,0.437388,0.348498,-0.229734,0.349539,0.957275,-0.410156,-0.134521
-0.430336,-0.518149,0.544433,-0.499926,9.645268,-0.049067,0.878497,0.35822,-0.309025,0.370112,0.959717,-0.410156,-0.136719
-0.427491,-0.518767,0.54548,-0.500584,9.635242,0.144342,1.111115,0.314135,-0.369637,0.39583,0.955322,-0.414795,-0.141113
-0.424529,-0.519305,0.546948,-0.500944,9.462337,0.153704,1.290404,0.250592,-0.443469,0.432694,0.953125,-0.421631,-0.140869
-0.421249,-0.519938,0.548787,-0.501046,9.376037,0.033131,1.576766,0.220339,-0.543997,0.472295,0.942139,-0.428711,-0.149414
-0.417579,-0.520719,0.551008,-0.500868,9.183942,-0.125195,1.815433,0.211382,-0.665334,0.508319,0.94458,-0.433105,-0.156006
-0.413224,-0.521882,0.553498,-0.500524,9.062705,-0.262236,2.06757,0.262298,-0.816369,0.552151,0.940186,-0.439941,-0.166748
-0.407968,-0.523551,0.555923,-0.500406,9.12589,0.004838,2.441106,0.441352,-0.940166,0.594158,0.940186,-0.439941,-0.171143
-0.401996,-0.525587,0.558783,-0.499919,9.139203,0.45332,2.909116,0.450115,-1.128231,0.644484,0.936279,-0.455811,-0.190674
-0.395532,-0.527663,0.562358,-0.498878,9.355892,0.620347,3.127926,0.386699,-1.30525,0.715584,0.924805,-0.458252,-0.197021
-0.388446,-0.529965,0.566498,-0.49732,9.584746,0.481155,3.08851,0.340513,-1.494872,0.775166,0.922852,-0.465088,-0.216797
-0.380732,-0.532487,0.571125,-0.495294,10.150702,0.105064,3.00736,0.342702,-1.677042,0.822105,0.916504,-0.480957,-0.229492
-0.372766,-0.535137,0.57614,-0.492683,10.857612,-0.181222,2.413503,0.254114,-1.808522,0.834964,0.903076,-0.488037,-0.242676
-0.364694,-0.538029,0.581262,-0.489549,11.757758,-0.622164,0.778677,0.235335,-1.910802,0.780387,0.901123,-0.492432,-0.26001
-0.35643,-0.541317,0.585996,-0.486356,12.886571,-0.545457,-0.231704,0.293519,-1.947725,0.716934,0.890137,-0.503906,-0.28418
-0.348192,-0.54484,0.590206,-0.483289,13.78102,-0.229908,-0.390699,0.397705,-1.918024,0.628506,0.887939,-0.506348,-0.290527
-0.340316,-0.548464,0.594227,-0.47986,13.786165,0.12086,-1.095689,0.316208,-1.909863,0.546223,0.876953,-0.513184,-0.314697
-0.333081,-0.551814,0.598294,-0.476028,13.553283,0.250372,-2.534898,0.197148,-1.856839,0.485756,0.870117,-0.518066,-0.321289
-0.326436,-0.554944,0.602154,-0.472108,12.841223,-0.008778,-2.960512,0.104393,-1.759107,0.436301,0.865967,-0.524902,-0.34082
-0.320837,-0.55769,0.60614,-0.46759,12.008389,-0.726984,-3.169585,-0.102005,-1.675191,0.350111,0.856934,-0.527344,-0.354004
-0.316149,-0.560347,0.609805,-0.462817,11.465777,-2.09809,-3.801542,-0.228936,-1.560383,0.232234,0.852539,-0.531738,-0.376221
-0.311827,-0.563198,0.612282,-0.459002,11.555047,-3.482676,-2.895479,-0.018663,-1.35656,0.098063,0.854736,-0.529541,-0.389404
-0.307954,-0.566326,0.613029,-0.456764,11.918663,-4.347609,-1.560211,0.287642,-1.036282,-0.069554,0.845947,-0.536377,-0.391357
-0.304789,-0.569483,0.612078,-0.456238,11.798126,-4.605896,-0.73689,0.58711,-0.659022,-0.229217,0.852783,-0.53418,-0.387207
-0.302296,-0.572639,0.609656,-0.457189,11.023588,-4.342918,-1.201723,0.812725,-0.313302,-0.363379,0.859619,-0.536133,-0.393799
-0.300029,-0.575882,0.605559,-0.460043,10.67612,-3.251365,-0.198096,1.190827,0.019809,-0.476435,0.859619,-0.540771,-0.37793
-0.29875,-0.57887,0.600268,-0.464043,10.616596,-2.289357,0.125793,1.296874,0.372236,-0.600103,0.873291,-0.535889,-0.369385
-0.299059,-0.581179,0.594108,-0.468861,10.620929,-1.395419,0.398578,1.265063,0.766485,-0.722787,0.875488,-0.538086,-0.35376
-0.301385,-0.582462,0.587915,-0.473563,10.289328,-1.021271,0.250666,0.944898,1.097067,-0.795759,0.88916,-0.5354,-0.336182
-0.305554,-0.582692,0.581927,-0.477983,10.248103,-1.003653,-0.217826,0.626546,1.362175,-0.843593,0.902344,-0.52832,-0.318604
-0.310759,-0.582289,0.575781,-0.482539,10.358696,-0.962326,-0.21356,0.485628,1.574875,-0.875078,0.915771,-0.516846,-0.301514
-0.317002,-0.581117,0.569594,-0.487212,10.635206,-0.739252,-0.016177,0.346328,1.779075,-0.887441,0.920166,-0.516846,-0.281494
-0.324267,-0.579147,0.563375,-0.491984,10.573985,-0.615796,-0.455225,0.179271,1.992339,-0.890444,0.935791,-0.505127,-0.261963
-0.332654,-0.576187,0.557274,-0.496785,10.48916,-0.596319,-0.496769,-0.009423,2.206367,-0.876671,0.947021,-0.502686,-0.235596
-0.341911,-0.572393,0.551279,-0.501552,10.224047,-0.805333,-0.850345,-0.193178,2.380774,-0.857186,0.964844,-0.493164,-0.218262
-0.351903,-0.56789,0.545297,-0.506277,10.064105,-1.016097,-1.197759,-0.320289,2.522107,-0.855857,0.968994,-0.481934,-0.194092
-0.362267,-0.562958,0.539071,-0.51112,9.943448,-1.149632,-0.961277,-0.366621,2.641717,-0.864549,0.986816,-0.470215,-0.172363
-0.372878,-0.557702,0.532492,-0.516123,9.9318,-1.147408,-0.499091,-0.35257,2.740419,-0.884109,0.993164,-0.461182,-0.14624
-0.383917,-0.552014,0.525795,-0.520988,9.797448,-1.150889,-0.813756,-0.44706,2.828602,-0.904549,1.006348,-0.449463,-0.113281
-0.395335,-0.545932,0.519029,-0.525621,9.74459,-1.384707,-1.1115,-0.526904,2.884837,-0.928387,1.015381,-0.444824,-0.089111
-0.406884,-0.539608,0.51201,-0.530202,9.845208,-1.580995,-1.321728,-0.548559,2.942746,-0.948277,1.01709,-0.433594,-0.058594
-0.418024,-0.533381,0.504158,-0.535336,10.161238,-1.489085,-0.847181,-0.346498,3.013919,-0.959012,1.030518,-0.428711,-0.025635
-0.429013,-0.527103,0.495777,-0.540662,10.395085,-1.470092,-0.394234,-0.263895,3.073144,-0.979047,1.030029,-0.413086,0.00708
-0.439871,-0.52073,0.486965,-0.546095,10.35317,-1.56362,-0.50988,-0.195707,3.114535,-0.990578,1.038574,-0.397217,0.039795
-0.450326,-0.514562,0.477604,-0.551658,9.805789,-1.543015,-0.673171,-0.068485,3.118765,-1.013368,1.047363,-0.396973,0.072998
-0.460351,-0.508677,0.467858,-0.557166,9.439442,-1.438134,-0.636281,0.043835,3.071572,-1.036093,1.046875,-0.381348,0.101318
-0.469874,-0.503142,0.457763,-0.562601,9.425014,-1.258249,-0.55096,0.154134,3.014198,-1.056632,1.048828,-0.372314,0.140869
-0.478881,-0.497926,0.447151,-0.568154,9.485699,-1.069607,-0.294677,0.309895,2.987957,-1.067109,1.048096,-0.358887,0.173584
-0.487435,-0.492996,0.43612,-0.573726,9.395102,-0.818285,0.077695,0.426633,2.960525,-1.082479,1.050049,-0.345215,0.204346
-0.495541,-0.488373,0.42497,-0.579078,9.154651,-0.467044,0.54454,0.500289,2.872616,-1.089489,1.053955,-0.333984,0.237061
-0.503509,-0.483817,0.414249,-0.583779,8.803576,-0.389758,0.015249,0.410391,2.750449,-1.103387,1.048828,-0.320557,0.267578
-0.511157,-0.479561,0.403911,-0.587874,8.435667,-0.197024,0.028304,0.38135,2.588631,-1.112932,1.043945,-0.30957,0.29834
-0.518317,-0.475777,0.39384,-0.591501,8.276102,-0.22277,0.519652,0.402446,2.4246,-1.117952,1.041016,-0.296143,0.324463
-0.525016,-0.472453,0.383965,-0.594742,8.308249,-0.276735,1.027678,0.445133,2.273847,-1.118569,1.042725,-0.278076,0.352539
-0.531037,-0.469774,0.374103,-0.597796,8.324848,-0.302394,1.629962,0.556407,2.128968,-1.108417,1.042236,-0.266846,0.378906
-0.536446,-0.467676,0.364513,-0.600529,8.359212,-0.218854,1.985345,0.623409,1.951938,-1.084727,1.037354,-0.255859,0.398438
-0.541177,-0.466198,0.355344,-0.602923,8.136143,-0.167754,1.815081,0.673688,1.753842,-1.047785,1.032227,-0.244629,0.422363
-0.545079,-0.465522,0.346543,-0.605051,7.876961,-0.039905,1.636626,0.778797,1.530959,-0.996807,1.031738,-0.231201,0.433105
-0.548029,-0.465729,0.338034,-0.607037,7.703617,0.175054,1.43721,0.914414,1.315794,-0.933676,1.024658,-0.220215,0.452637
-0.55014,-0.466717,0.330079,-0.608744,7.424544,0.419611,1.510686,0.995964,1.074874,-0.860853,1.021484,-0.197754,0.465088
-0.551406,-0.468492,0.322889,-0.610089,7.232932,0.840259,1.707435,1.040363,0.808167,-0.781185,1.025879,-0.190918,0.473633
-0.552104,-0.470708,0.316942,-0.610871,7.014871,1.157982,1.745904,0.958245,0.525294,-0.683054,1.025391,-0.175049,0.479736
-0.552206,-0.473356,0.312277,-0.611135,7.021125,1.08635,1.550467,0.868335,0.246699,-0.577105,1.024902,-0.166016,0.486084
-0.551736,-0.476459,0.309063,-0.610782,6.95233,1.046925,1.212595,0.761129,-0.065613,-0.463413,1.0271,-0.156982,0.477051
-0.550592,-0.480166,0.307497,-0.6097,6.427746,1.080884,0.701056,0.641452,-0.429949,-0.344569,1.03833,-0.152344,0.474609
-0.548732,-0.484638,0.307456,-0.607857,6.171931,1.237268,0.716456,0.565572,-0.810476,-0.238969,1.044922,-0.147705,0.469971
-0.546295,-0.489612,0.308917,-0.605319,6.455068,1.336783,0.519439,0.44745,-1.137022,-0.133218,1.047363,-0.149902,0.456787
-0.543552,-0.494665,0.311984,-0.6021,6.616847,1.043428,-0.075497,0.25335,-1.409868,-0.015502,1.056396,-0.14502,0.440918
-0.540233,-0.500134,0.315456,-0.59875,7.635743,0.612059,-0.43652,0.294887,-1.550603,0.051079,1.063232,-0.142578,0.42749
-0.535246,-0.506745,0.317055,-0.596823,10.006561,1.262189,1.631238,0.902615,-1.44987,0.147724,1.067871,-0.142578,0.407715
-0.530546,-0.51235,0.318949,-0.595222,14.316126,2.103784,7.024007,0.747768,-1.308324,0.239386,1.07251,-0.142334,0.396484
-0.528717,-0.513855,0.323063,-0.593331,18.119103,2.261712,12.360064,-0.26042,-0.904139,0.358541,1.07959,-0.148926,0.390137
-0.530964,-0.510789,0.333108,-0.588397,14.321291,1.279659,8.43121,-2.066968,-1.036435,0.455217,1.084717,-0.162354,0.368408
-0.533122,-0.507899,0.345702,-0.581643,10.713429,1.001119,4.128975,-2.456233,-1.522071,0.523622,1.087402,-0.173584,0.34668
-0.534099,-0.505995,0.35972,-0.573854,11.28631,-1.612236,3.629767,-2.472651,-1.973012,0.624925,1.097168,-0.191162,0.316162
-0.53347,-0.504916,0.374523,-0.565864,12.671314,-4.368977,0.213175,-2.322069,-2.289937,0.809624,1.102295,-0.206787,0.294434
-0.53139,-0.505206,0.388561,-0.558043,12.398365,-4.76603,-2.604972,-1.934458,-2.452461,0.810182,1.107422,-0.218018,0.255127
-0.527784,-0.50755,0.400368,-0.550946,10.786518,-3.539821,-4.032488,-1.252921,-2.492435,0.67365,1.112061,-0.224609,0.233154
-0.523136,-0.51144,0.409972,-0.544684,8.885951,-1.266454,-5.735746,-0.678309,-2.426464,0.527905,1.123779,-0.22876,0.199951
-0.517697,-0.516748,0.417287,-0.539289,8.202187,1.552982,-6.723438,-0.124813,-2.31976,0.355266,1.128906,-0.239746,0.173828
-0.512412,-0.522408,0.423553,-0.533972,8.571339,4.26589,-6.043449,0.011671,-2.225936,0.208009,1.12207,-0.23999,0.153809
-0.508417,-0.526704,0.430573,-0.527923,9.881611,3.516993,-5.48419,-0.402274,-2.126785,0.190226,1.131348,-0.239746,0.131592
-0.505227,-0.529631,0.438246,-0.521706,11.111405,-0.254416,-5.361815,-0.712945,-1.995027,0.274293,1.131592,-0.246338,0.103027
-0.501733,-0.532466,0.445246,-0.516236,11.329851,-2.757381,-5.205589,-0.551702,-1.866686,0.318663,1.13623,-0.248535,0.076416
-0.497621,-0.535931,0.450797,-0.511795,11.052834,-3.136509,-4.921219,-0.183972,-1.729906,0.274892,1.134277,-0.255371,0.056641
-0.493035,-0.539934,0.455043,-0.508256,10.699137,-2.248243,-4.508303,0.137496,-1.602766,0.224983,1.138672,-0.250732,0.038818
-0.488516,-0.543865,0.458705,-0.505127,10.602367,-0.439071,-3.605398,0.217546,-1.48596,0.201951,1.134521,-0.255371,0.02124
-0.485388,-0.546472,0.463042,-0.501357,10.738162,0.584641,-2.931398,-0.188108,-1.361394,0.193485,1.13916,-0.257324,0.012451
-0.484034,-0.54747,0.468326,-0.496647,10.420439,0.535007,-2.840728,-0.72224,-1.229518,0.177093,1.136963,-0.261963,-0.009521
-0.48397,-0.547346,0.474148,-0.491294,9.749642,0.123759,-2.808826,-1.083885,-1.120531,0.150568,1.136963,-0.255127,-0.027588
-0.484259,-0.546943,0.479777,-0.485963,9.703871,-0.207368,-2.798651,-1.130437,-1.037592,0.123437,1.134521,-0.25293,-0.038574
-0.484547,-0.54675,0.484684,-0.480999,9.752301,6.9e-05,-2.890328,-1.002926,-0.948844,0.059882,1.134766,-0.259766,-0.051758
-0.484698,-0.546796,0.48893,-0.476476,10.006697,-0.210834,-2.922738,-0.860066,-0.872085,0.020282,1.13916,-0.255127,-0.067383
-0.484171,-0.54749,0.4922,-0.472835,10.276877,-0.995276,-2.975419,-0.542426,-0.80974,8.1e-05,1.13501,-0.259766,-0.076172
-0.482487,-0.549298,0.49414,-0.470429,10.083262,-1.492439,-2.327465,-0.061698,-0.764247,-0.025896,1.132568,-0.25293,-0.091797
-0.479748,-0.552156,0.494921,-0.469062,9.847136,-1.210394,-1.552286,0.368179,-0.742059,-0.057628,1.13916,-0.248291,-0.089844
-0.47633,-0.555683,0.494959,-0.468339,9.724427,-0.651101,-1.050235,0.639793,-0.728794,-0.080239,1.134766,-0.257324,-0.093994
-0.472734,-0.559405,0.49476,-0.467763,9.862549,0.180141,-0.505411,0.715887,-0.726516,-0.095682,1.134766,-0.250732,-0.105225
-0.469579,-0.562764,0.494826,-0.466839,10.071588,1.146198,-0.345163,0.571946,-0.712236,-0.103836,1.130371,-0.25293,-0.116211
-0.46741,-0.565234,0.495578,-0.465232,10.058963,1.67867,-0.717861,0.246938,-0.673583,-0.095204,1.134766,-0.248291,-0.12085
-0.466082,-0.566945,0.497062,-0.462893,9.571926,1.386448,-1.515401,-0.060734,-0.67023,-0.083653,1.130371,-0.25293,-0.127197
-0.46503,-0.568424,0.498846,-0.460211,9.484635,0.192487,-1.896216,-0.174403,-0.688794,-0.084392,1.134766,-0.25293,-0.134033
-0.463377,-0.570476,0.500091,-0.457983,9.642718,-0.821169,-2.407162,0.040787,-0.698945,-0.104827,1.130371,-0.25293,-0.142822
-0.46057,-0.573538,0.500216,-0.456851,9.771728,-0.946502,-2.586913,0.479515,-0.678884,-0.126815,1.129883,-0.241699,-0.147705
-0.45662,-0.577565,0.499266,-0.456783,9.801986,-0.122804,-2.410896,0.903051,-0.659596,-0.143865,1.12793,-0.248535,-0.151855
-0.452041,-0.582018,0.497821,-0.457262,9.834689,1.361093,-1.809234,1.115529,-0.653579,-0.13661,1.130127,-0.246094,-0.160889
-0.447832,-0.585972,0.496782,-0.457484,9.889013,2.792323,-1.352306,0.963429,-0.636942,-0.096166,1.128174,-0.250732,-0.167236
-0.44477,-0.588838,0.496677,-0.456904,9.837431,3.243358,-1.369734,0.567691,-0.601885,-0.055844,1.130371,-0.250732,-0.173828
-0.442891,-0.590652,0.497543,-0.455444,9.621325,2.572956,-1.625564,0.157232,-0.577583,-0.023024,1.123535,-0.250732,-0.180664
-0.441436,-0.592002,0.498807,-0.453718,9.624102,1.418935,-2.073525,0.004697,-0.560347,0.007616,1.128174,-0.250732,-0.193848
-0.439893,-0.593325,0.500041,-0.452126,9.622251,0.662116,-2.480821,0.02781,-0.547682,0.027021,1.125732,-0.246338,-0.200684
-0.437732,-0.595048,0.50087,-0.451041,9.503563,0.622603,-2.418365,0.224521,-0.550524,0.039073,1.128174,-0.25293,-0.198242
