// fs=100 nSamples=955
// frame=world
// origFName=data/neura-sparse01/rawimu/S02-Trial-Walk-1
// idx=1120,2074
ori_1,ori_2,ori_3,ori_4,acc_1,acc_2,acc_3,gyr_1,gyr_2,gyr_3,mag_1,mag_2,mag_3
-0.254106,-0.646064,0.3765,-0.613416,9.961139,-0.737798,-1.065594,0.209399,0.081762,0.121679,0.993652,-0.449951,0.000977
-0.253157,-0.645851,0.376078,-0.614291,9.910789,-0.77642,-0.919205,0.232886,0.105736,0.123007,0.993896,-0.458984,-0.000977
-0.252023,-0.64565,0.375457,-0.615348,9.801761,-0.679398,-0.909353,0.256307,0.126852,0.132475,0.993896,-0.458984,-0.000977
-0.250815,-0.645457,0.374863,-0.616405,9.632904,-0.630604,-1.035903,0.302159,0.115805,0.140476,0.996094,-0.454346,0.005371
-0.249335,-0.645409,0.374118,-0.617507,9.628858,-0.589949,-1.068473,0.335552,0.093191,0.149151,0.993896,-0.456543,0.01001
-0.247816,-0.645356,0.373457,-0.618573,9.582258,-0.627955,-1.078827,0.358397,0.080082,0.160076,0.993896,-0.456543,0.01001
-0.24615,-0.645374,0.372763,-0.619637,9.554669,-0.655093,-1.116396,0.359748,0.062646,0.171838,0.989502,-0.461182,0.01001
-0.244519,-0.645315,0.372208,-0.620677,9.591616,-0.727532,-1.057771,0.357358,0.063744,0.186526,0.987305,-0.463623,0.010254
-0.24278,-0.645288,0.371595,-0.621755,9.650295,-0.810712,-0.895103,0.357491,0.061381,0.194547,0.991943,-0.461182,0.016602
-0.241024,-0.645239,0.371074,-0.622798,9.68163,-0.868042,-0.58054,0.370098,0.051933,0.206162,0.985107,-0.468262,0.019043
-0.239193,-0.645189,0.370584,-0.623847,9.778466,-0.893723,-0.271835,0.347607,0.047663,0.222853,0.987305,-0.463623,0.016846
-0.237586,-0.644993,0.37034,-0.624808,9.810686,-0.875836,-0.060599,0.303114,0.057554,0.230271,0.987305,-0.46582,0.019043
-0.236117,-0.644657,0.370273,-0.625751,9.990314,-0.838991,0.087429,0.258901,0.072005,0.245503,0.98999,-0.472656,0.01709
-0.234729,-0.644196,0.370348,-0.626703,10.148292,-0.777393,0.231984,0.221708,0.09065,0.263077,0.983154,-0.472656,0.019287
-0.233382,-0.643607,0.370422,-0.627766,10.261171,-0.774213,0.389439,0.216961,0.122934,0.273131,0.985352,-0.475098,0.028076
-0.231985,-0.642867,0.370376,-0.629067,10.421161,-0.790314,0.488715,0.25078,0.175509,0.285762,0.976563,-0.481934,0.030518
-0.230353,-0.641998,0.370106,-0.630712,10.705665,-0.709167,0.593864,0.30309,0.230542,0.314719,0.976318,-0.477539,0.032471
-0.228747,-0.640873,0.369761,-0.63264,10.783671,-0.53213,0.795655,0.343953,0.302961,0.331159,0.979004,-0.486572,0.041504
-0.227291,-0.639521,0.3692,-0.634857,10.565498,-0.441612,1.06294,0.34724,0.389791,0.316331,0.976807,-0.48877,0.045898
-0.226022,-0.637895,0.368502,-0.637347,10.781611,-0.446336,1.246709,0.364476,0.479513,0.305839,0.972168,-0.486816,0.050293
-0.224827,-0.635928,0.367573,-0.640265,11.193015,-0.28698,1.594339,0.383936,0.593324,0.313325,0.972412,-0.493652,0.059082
-0.224153,-0.633455,0.366675,-0.643459,11.082998,0.194675,2.111797,0.327917,0.730191,0.298283,0.975098,-0.500244,0.068115
-0.224075,-0.630574,0.3656,-0.646918,10.717218,0.464586,2.424769,0.241321,0.870969,0.243656,0.970215,-0.49585,0.081055
-0.224739,-0.627227,0.364308,-0.65066,10.523923,0.760168,2.434264,0.210526,1.027944,0.164507,0.968262,-0.500488,0.094238
-0.226028,-0.623867,0.362551,-0.654415,10.654168,1.007257,2.467327,0.15678,1.099832,0.028951,0.96582,-0.500732,0.10083
-0.228931,-0.620136,0.360345,-0.65816,10.961422,1.365678,2.520097,0.032903,1.282296,-0.214631,0.963135,-0.491699,0.11792
-0.234372,-0.615662,0.358485,-0.661452,10.970168,1.58707,1.927157,-0.419563,1.490698,-0.471173,0.965576,-0.491699,0.128906
-0.241777,-0.610725,0.356892,-0.664219,10.996654,1.504017,1.916121,-0.730462,1.615966,-0.691308,0.969971,-0.487061,0.139648
-0.250394,-0.605751,0.355318,-0.666421,10.960731,1.211681,2.854519,-0.955316,1.637074,-0.873389,0.969482,-0.471436,0.149902
-0.260477,-0.600265,0.354037,-0.6682,11.38306,0.509101,3.417464,-1.195678,1.744007,-1.019434,0.969482,-0.473633,0.160889
-0.27144,-0.594407,0.352041,-0.670125,11.926291,-0.215369,3.534317,-1.229084,1.906531,-1.187536,0.978271,-0.462158,0.166992
-0.282791,-0.588236,0.348975,-0.672476,12.616071,-1.570766,3.592579,-1.10469,2.088708,-1.323039,0.97583,-0.455566,0.186279
-0.295617,-0.580121,0.346682,-0.67519,12.195396,-3.054846,4.185888,-1.49201,2.449475,-1.275885,0.97998,-0.439697,0.203369
-0.30946,-0.570431,0.346488,-0.67734,10.940274,-4.06972,3.741472,-2.000417,2.545884,-1.092038,0.977295,-0.428711,0.222412
-0.322056,-0.560596,0.347002,-0.679413,9.893631,-5.188724,2.381189,-1.972354,2.418017,-0.834407,0.979736,-0.433105,0.23584
-0.33316,-0.550953,0.347712,-0.68158,9.218843,-5.58143,1.182325,-1.808863,2.294803,-0.619781,0.977295,-0.430908,0.253174
-0.342166,-0.541915,0.34749,-0.684472,9.462222,-5.297237,0.011925,-1.393792,2.200788,-0.435416,0.974854,-0.426514,0.272461
-0.34815,-0.534816,0.344782,-0.688396,9.571341,-4.647895,-0.229748,-0.487492,2.014856,-0.350007,0.968262,-0.431396,0.285889
-0.351089,-0.530036,0.339346,-0.693284,9.674379,-3.790179,0.083651,0.401944,1.767737,-0.322501,0.960938,-0.422607,0.311768
-0.352056,-0.527078,0.332314,-0.698436,9.649655,-2.967198,0.688836,1.017946,1.532233,-0.316227,0.960693,-0.413574,0.320068
-0.352051,-0.525222,0.324734,-0.703384,9.482628,-2.175003,1.359278,1.261808,1.328357,-0.325405,0.958252,-0.411621,0.343994
-0.351974,-0.523871,0.317559,-0.707694,9.192502,-1.391944,1.798371,1.205725,1.159347,-0.350944,0.955566,-0.402588,0.354492
-0.352261,-0.522648,0.311394,-0.711185,9.205364,-0.44959,2.226193,0.982471,1.005237,-0.362035,0.955322,-0.395996,0.371826
-0.353068,-0.521119,0.306362,-0.714087,9.253726,0.466171,2.89954,0.707819,0.942214,-0.340419,0.950684,-0.389404,0.384766
-0.354466,-0.519006,0.302288,-0.716665,9.077256,1.260361,3.211424,0.449048,0.957785,-0.311466,0.950439,-0.382568,0.397461
-0.356506,-0.516186,0.299206,-0.718979,8.812726,1.668421,3.219732,0.173545,1.002624,-0.277015,0.945557,-0.380371,0.40625
-0.359264,-0.512624,0.29724,-0.720968,8.467256,1.639886,2.991224,-0.132666,1.036791,-0.243286,0.943359,-0.380615,0.414795
-0.362628,-0.508646,0.29669,-0.722326,8.104875,1.418167,2.971008,-0.467201,0.968916,-0.206565,0.945801,-0.382813,0.410645
-0.366596,-0.504321,0.297651,-0.72296,8.041952,1.020036,2.991402,-0.814569,0.869195,-0.171463,0.936523,-0.380859,0.425781
-0.370918,-0.499795,0.299328,-0.723206,7.931669,0.485132,2.97463,-0.992144,0.83,-0.16763,0.938965,-0.387451,0.423828
-0.375386,-0.495253,0.301036,-0.723317,8.111178,0.110274,3.088745,-1.019814,0.82293,-0.1939,0.93457,-0.389893,0.432617
-0.379924,-0.490656,0.302695,-0.723388,8.263682,-0.183346,3.412855,-1.026824,0.837135,-0.209239,0.929932,-0.389893,0.432617
-0.384626,-0.485907,0.304491,-0.723355,7.896636,-0.687019,3.584493,-1.080041,0.846008,-0.21767,0.925537,-0.396973,0.437256
-0.389326,-0.481158,0.306136,-0.723321,7.445427,-1.483656,3.520449,-1.058725,0.859922,-0.232648,0.927979,-0.39917,0.439453
-0.393858,-0.476574,0.307533,-0.72331,7.122894,-2.051034,3.910475,-0.991687,0.844861,-0.24011,0.92334,-0.39917,0.448242
-0.39809,-0.472288,0.309047,-0.723159,7.100187,-2.34102,4.428809,-0.965904,0.763169,-0.21533,0.923584,-0.406006,0.452881
-0.401894,-0.468216,0.310784,-0.722958,7.140731,-2.407088,4.720346,-0.942906,0.680575,-0.149313,0.914307,-0.404053,0.448486
-0.405176,-0.464377,0.312071,-0.723047,6.913548,-2.85915,4.266879,-0.79298,0.680502,-0.107394,0.916992,-0.410645,0.453125
-0.407813,-0.461089,0.312628,-0.723428,6.566971,-2.734911,4.299675,-0.56385,0.644218,-0.092341,0.909912,-0.408691,0.459473
-0.410116,-0.458318,0.313044,-0.723708,6.459284,-2.656858,4.475359,-0.477699,0.553149,-0.098002,0.910156,-0.410889,0.466064
-0.411676,-0.456347,0.312767,-0.724188,7.116269,-2.440584,4.911956,-0.229996,0.463533,-0.087323,0.914551,-0.410889,0.468262
-0.412641,-0.454826,0.312197,-0.724841,7.338739,-2.031287,5.126574,-0.086508,0.403581,-0.042144,0.914551,-0.410889,0.466064
-0.413163,-0.453475,0.311215,-0.725811,7.062559,-1.907892,5.355249,-6e-06,0.395359,-0.020832,0.910156,-0.410889,0.470459
-0.413608,-0.452401,0.310024,-0.726737,7.09964,-1.702614,5.471216,0.104749,0.382482,-0.028434,0.910156,-0.410889,0.474854
