// fs=100 nSamples=955
// frame=world
// origFName=data/neura-sparse01/rawimu/S02-Trial-Walk-1
// idx=1120,2074
ori_1,ori_2,ori_3,ori_4,acc_1,acc_2,acc_3,gyr_1,gyr_2,gyr_3,mag_1,mag_2,mag_3
0.670661,-0.313207,-0.384898,-0.551333,8.418751,-0.776313,4.900471,0.156255,0.176449,0.224906,0.887451,0.395996,0.489258
0.671846,-0.312768,-0.384427,-0.550468,8.446205,-0.841681,4.810226,0.158281,0.164293,0.235308,0.894287,0.395996,0.489258
0.673055,-0.31226,-0.384054,-0.549538,8.600363,-0.89533,4.724572,0.181229,0.156029,0.232556,0.89209,0.391602,0.485107
0.674291,-0.311639,-0.383732,-0.548601,8.731049,-0.816601,4.687789,0.20765,0.164052,0.227141,0.885498,0.391357,0.496094
0.675557,-0.310888,-0.383455,-0.547661,8.802512,-0.789841,4.607308,0.228742,0.173356,0.215422,0.89209,0.391602,0.487305
0.676806,-0.310054,-0.383249,-0.546736,8.815348,-0.76132,4.471993,0.250792,0.172685,0.204359,0.890137,0.386963,0.489746
0.678062,-0.309121,-0.383141,-0.545782,8.754766,-0.728019,4.404442,0.27215,0.168978,0.191845,0.894287,0.393799,0.489502
0.679257,-0.30815,-0.383115,-0.544864,8.720416,-0.779296,4.351372,0.283739,0.160208,0.175068,0.892334,0.386963,0.494141
0.680469,-0.3071,-0.38315,-0.543919,8.736471,-0.807446,4.299064,0.300329,0.159407,0.167982,0.889893,0.38916,0.485107
0.681638,-0.306043,-0.383235,-0.54299,8.687061,-0.738671,4.27353,0.306816,0.151845,0.160109,0.894531,0.389404,0.487305
0.682778,-0.304902,-0.383407,-0.542077,8.6864,-0.753463,4.270964,0.320846,0.146994,0.140598,0.892334,0.389404,0.487305
0.683879,-0.303667,-0.383657,-0.541205,8.602992,-0.739152,4.28053,0.339203,0.147561,0.120774,0.89209,0.391602,0.491699
0.684898,-0.302426,-0.383971,-0.540388,8.533835,-0.812482,4.338717,0.33518,0.135089,0.097912,0.887695,0.391357,0.487305
0.685765,-0.301245,-0.384392,-0.539648,8.520654,-0.708316,4.43316,0.327154,0.107796,0.072156,0.889893,0.391602,0.48291
0.686498,-0.30012,-0.384945,-0.538949,8.605841,-0.600852,4.392255,0.318717,0.074816,0.045466,0.894531,0.387207,0.485352
