// fs=100 nSamples=955
// frame=world
// origFName=data/neura-sparse01/rawimu/S02-Trial-Walk-1
// idx=1120,2074
ori_1,ori_2,ori_3,ori_4,acc_1,acc_2,acc_3,gyr_1,gyr_2,gyr_3,mag_1,mag_2,mag_3
-0.814843,-0.039511,0.21751,-0.535873,3.974692,-1.666157,8.963904,-0.064312,-0.002255,0.03171,0.75415,-0.389893,0.692871
-0.814683,-0.039314,0.217768,-0.536025,3.876373,-1.789352,8.870991,-0.054815,0.004753,0.032224,0.760986,-0.391846,0.697266
-0.814566,-0.039086,0.217987,-0.536131,3.899299,-1.794124,8.868814,-0.056397,0.015045,0.02643,0.75415,-0.387695,0.692627
-0.814459,-0.038865,0.218153,-0.536242,3.899127,-1.818723,8.883928,-0.050724,0.023782,0.021964,0.758545,-0.385498,0.688232
-0.814374,-0.038652,0.21831,-0.536323,3.93854,-1.699522,8.876489,-0.048546,0.024866,0.017599,0.756348,-0.389893,0.690674
-0.814293,-0.038441,0.218397,-0.536425,3.866448,-1.745881,8.912175,-0.04024,0.036478,0.019178,0.756592,-0.39209,0.686523
-0.814218,-0.038253,0.218485,-0.536516,3.88576,-1.714427,8.914998,-0.036743,0.033857,0.016577,0.756348,-0.389648,0.694824
-0.814157,-0.038055,0.21847,-0.53663,3.90518,-1.747362,8.876669,-0.027431,0.053028,0.015746,0.756592,-0.39209,0.690674
-0.81408,-0.037894,0.218497,-0.536747,3.92541,-1.733734,8.895511,-0.024748,0.040945,0.019432,0.75415,-0.387695,0.692627
-0.813992,-0.037689,0.218533,-0.536879,3.918519,-1.653194,8.923052,-0.031692,0.043419,0.025701,0.754395,-0.39209,0.682129
-0.813871,-0.03744,0.218603,-0.537052,3.938969,-1.736725,8.861968,-0.040757,0.042013,0.037387,0.754395,-0.39209,0.692871
-0.813728,-0.037195,0.21871,-0.537243,3.885021,-1.694894,8.888428,-0.044159,0.035301,0.040308,0.75415,-0.389893,0.686279
-0.813607,-0.036964,0.218783,-0.537412,3.837322,-1.790075,8.899904,-0.038412,0.039353,0.036017,0.75,-0.396484,0.693115
-0.813505,-0.036798,0.218819,-0.537563,3.852684,-1.705317,8.891623,-0.024387,0.039088,0.028115,0.75,-0.394287,0.688721
-0.813454,-0.036746,0.218773,-0.537662,3.851786,-1.775684,8.885476,-0.000121,0.042155,0.008214,0.745605,-0.394287,0.688965
-0.813398,-0.036668,0.218675,-0.537792,3.875524,-1.908282,8.836631,0.003701,0.05258,0.016636,0.752197,-0.396484,0.688965
-0.813329,-0.036645,0.218569,-0.53794,3.8661,-1.709729,8.929751,0.013316,0.048301,0.016584,0.754395,-0.396484,0.688965
-0.813271,-0.036617,0.218423,-0.538091,3.865339,-1.827177,8.901805,0.015378,0.056897,0.011036,0.758789,-0.394287,0.686523
-0.813241,-0.03661,0.218185,-0.538232,3.874078,-1.760195,8.788923,0.029521,0.069731,0.009418,0.756592,-0.396484,0.690918
-0.813216,-0.03669,0.217868,-0.538394,3.745878,-1.762967,8.799346,0.050672,0.075406,0.001701,0.756348,-0.389893,0.688477
-0.813218,-0.036837,0.217497,-0.538531,3.796301,-1.769689,8.9376,0.068434,0.076226,-0.00221,0.752441,-0.39624,0.699707
-0.813214,-0.037008,0.217141,-0.538667,3.787039,-1.679417,8.967933,0.070854,0.070738,-0.002534,0.752197,-0.394287,0.688721
-0.813215,-0.037203,0.216804,-0.538789,3.806172,-1.625506,9.027261,0.07194,0.065214,-0.006409,0.75,-0.396484,0.693115
-0.8132,-0.037377,0.216475,-0.538932,3.969972,-1.656653,8.964832,0.067152,0.066926,-0.005407,0.754395,-0.396484,0.691162
-0.813186,-0.037505,0.216136,-0.539079,4.104253,-1.47546,9.013142,0.062573,0.072371,0.002146,0.749512,-0.383301,0.69458
-0.813182,-0.037533,0.215764,-0.539233,3.961234,-1.733409,8.980998,0.050616,0.088805,0.008033,0.754395,-0.394287,0.695313
-0.81316,-0.037514,0.215412,-0.539409,3.925819,-1.64689,9.012642,0.04123,0.090292,0.013877,0.747803,-0.394287,0.693115
-0.813123,-0.037462,0.215059,-0.539608,3.871374,-1.730471,8.993363,0.035216,0.09478,0.015039,0.751953,-0.389893,0.692871
-0.813102,-0.037404,0.214734,-0.539773,3.840524,-1.717244,9.051949,0.031633,0.08996,0.014076,0.754395,-0.394287,0.693115
-0.813048,-0.03736,0.214503,-0.53995,3.834736,-1.718778,9.089853,0.022255,0.073551,0.013796,0.743408,-0.39209,0.690918
-0.813011,-0.03732,0.214333,-0.540076,3.832914,-1.82042,9.08224,0.016271,0.062007,0.009726,0.745605,-0.39209,0.693115
-0.812982,-0.037283,0.214211,-0.54017,3.853245,-1.868022,9.061125,0.010137,0.054233,0.002671,0.747803,-0.396484,0.693359
