// fs=100 nSamples=955
// frame=world
// origFName=data/neura-sparse01/rawimu/S02-Trial-Walk-1
// idx=1120,2074
ori_1,ori_2,ori_3,ori_4,acc_1,acc_2,acc_3,gyr_1,gyr_2,gyr_3,mag_1,mag_2,mag_3
0.636723,-0.031296,-0.755353,-0.151809,9.586948,1.230424,-1.386118,0.133138,-0.061565,-0.27234,0.821777,0.353027,-0.484375
0.636211,-0.029626,-0.755787,-0.152134,9.599017,1.278994,-1.457193,0.178293,-0.060344,-0.326731,0.822021,0.346436,-0.47998
0.635655,-0.027738,-0.756238,-0.152568,9.63167,1.191892,-1.515271,0.193875,-0.06129,-0.375937,0.817139,0.353027,-0.478027
0.635058,-0.025496,-0.75674,-0.152957,9.574219,1.266594,-1.429677,0.250341,-0.063161,-0.426083,0.817139,0.355225,-0.484619
0.634394,-0.02302,-0.757274,-0.153463,9.553389,1.533111,-1.364982,0.259896,-0.069983,-0.4777,0.812256,0.361816,-0.484863
0.633663,-0.020388,-0.757824,-0.154138,9.47775,1.636021,-1.279088,0.253223,-0.076803,-0.524684,0.812012,0.366211,-0.484863
0.632867,-0.017678,-0.758386,-0.154976,9.451586,1.786957,-1.22242,0.239455,-0.084975,-0.559632,0.814209,0.368408,-0.489258
0.631974,-0.014864,-0.759,-0.155905,9.474701,1.743579,-1.259169,0.243031,-0.102195,-0.590196,0.811768,0.372803,-0.491699
0.631016,-0.011789,-0.759675,-0.156762,9.431507,1.754625,-1.146514,0.285702,-0.112359,-0.622744,0.806885,0.377197,-0.491943
0.629994,-0.008338,-0.760454,-0.157313,9.385743,1.892042,-1.03218,0.385503,-0.123662,-0.643731,0.802246,0.37915,-0.494141
0.628914,-0.004607,-0.76129,-0.157746,9.439135,2.043508,-1.098121,0.437828,-0.131479,-0.673113,0.802002,0.385742,-0.496582
0.627767,-0.000556,-0.762206,-0.157956,9.532989,1.899637,-1.311006,0.518777,-0.141444,-0.696333,0.797363,0.390137,-0.494629
0.626561,0.003992,-0.763258,-0.157615,9.495278,1.605429,-1.492762,0.665329,-0.152188,-0.704451,0.795166,0.387939,-0.507568
0.625258,0.009096,-0.764463,-0.156734,9.447622,1.703978,-1.569902,0.82871,-0.167482,-0.725349,0.797363,0.392334,-0.507568
0.62392,0.014617,-0.765737,-0.155425,9.378998,2.062773,-1.814383,0.942069,-0.168471,-0.735767,0.792725,0.392334,-0.516357
0.622538,0.0203,-0.767037,-0.153911,9.323347,2.292579,-1.989113,1.002753,-0.171734,-0.737682,0.787842,0.401123,-0.516602
0.621138,0.025696,-0.768257,-0.152671,9.282985,3.117128,-2.06331,0.914285,-0.175572,-0.727275,0.79248,0.396729,-0.522949
0.619658,0.030131,-0.769375,-0.152242,9.205312,3.546994,-2.082023,0.68298,-0.206578,-0.685493,0.782959,0.409912,-0.53418
0.618148,0.03373,-0.770392,-0.152484,9.131288,3.758513,-2.177691,0.45779,-0.230206,-0.639464,0.780762,0.403076,-0.527588
0.616661,0.035915,-0.771176,-0.154032,9.139585,3.673112,-2.185118,0.074728,-0.249898,-0.58408,0.773438,0.41626,-0.534424
0.615152,0.037576,-0.771907,-0.155999,9.410429,2.646527,-2.068002,-0.056235,-0.265818,-0.555705,0.780273,0.416504,-0.538818
0.613623,0.039518,-0.77272,-0.157508,9.309307,2.641766,-1.959994,0.051954,-0.266901,-0.543069,0.768555,0.420654,-0.534668
0.61207,0.041627,-0.773595,-0.158711,9.321527,2.702324,-2.141787,0.121601,-0.270402,-0.531371,0.768555,0.422852,-0.543457
0.610525,0.043829,-0.774498,-0.15966,9.088797,3.421094,-2.09511,0.173388,-0.26758,-0.514351,0.766113,0.425049,-0.545654
0.608931,0.045686,-0.775423,-0.160736,8.885569,3.839011,-1.835032,0.112567,-0.289954,-0.477463,0.76123,0.435791,-0.543945
0.607315,0.047213,-0.776339,-0.16198,8.784937,3.567506,-1.927243,0.046158,-0.304392,-0.447829,0.751953,0.435791,-0.543945
0.605666,0.048664,-0.777293,-0.163146,8.903148,3.169008,-2.071502,0.050861,-0.315967,-0.427212,0.751953,0.440186,-0.552734
0.604004,0.050044,-0.778238,-0.16438,9.201485,3.043575,-2.130728,0.031269,-0.319712,-0.424816,0.753906,0.44458,-0.550781
0.602371,0.051782,-0.779211,-0.165219,9.351902,2.742303,-2.264891,0.136838,-0.303055,-0.431617,0.749268,0.44458,-0.559326
0.600783,0.053831,-0.780178,-0.165781,9.439916,2.931703,-2.365572,0.216618,-0.282015,-0.445357,0.739746,0.453125,-0.564209
0.599335,0.056227,-0.781085,-0.165956,9.436542,2.910003,-2.664258,0.315256,-0.237413,-0.448991,0.744629,0.44873,-0.566162
0.598123,0.058805,-0.781833,-0.165913,9.25985,3.348926,-2.733636,0.363183,-0.17293,-0.445287,0.744385,0.455566,-0.570801
0.596927,0.06126,-0.782567,-0.165873,9.11036,3.455972,-3.066308,0.347322,-0.172942,-0.425864,0.73999,0.450928,-0.570557
0.596021,0.06372,-0.783086,-0.165754,8.955432,3.566124,-2.583784,0.349668,-0.100534,-0.410432,0.744141,0.459961,-0.570801
0.595123,0.065885,-0.783563,-0.16588,9.078183,3.566775,-2.628078,0.274627,-0.107336,-0.393346,0.737061,0.464111,-0.577393
0.594274,0.067977,-0.784009,-0.165973,9.155863,3.652217,-2.259914,0.269375,-0.097794,-0.377233,0.730469,0.45752,-0.575195
0.593422,0.06992,-0.784438,-0.166186,9.038345,3.526641,-2.205408,0.232276,-0.103005,-0.368128,0.730713,0.452881,-0.579346
0.592534,0.071855,-0.784915,-0.166282,9.076964,3.504463,-2.22918,0.251834,-0.112944,-0.353714,0.72583,0.46167,-0.577393
0.591645,0.073781,-0.785407,-0.166277,9.27904,3.602636,-2.399698,0.267206,-0.113766,-0.340062,0.730469,0.459717,-0.583984
0.590801,0.075475,-0.785867,-0.166342,9.090918,3.824066,-2.643049,0.227034,-0.111459,-0.310836,0.72583,0.463867,-0.583984
0.589954,0.076881,-0.786336,-0.166493,8.965754,3.813408,-2.826589,0.179843,-0.124103,-0.275757,0.725342,0.470459,-0.584229
0.589164,0.07779,-0.786715,-0.167076,9.030867,4.05321,-2.706929,0.049252,-0.127531,-0.248108,0.720947,0.468262,-0.592773
0.588412,0.078303,-0.787026,-0.168015,8.870392,3.716128,-2.627755,-0.056266,-0.132462,-0.227375,0.720947,0.470459,-0.588623
0.587649,0.078664,-0.787329,-0.169093,8.737727,3.346771,-2.658632,-0.09591,-0.14038,-0.220382,0.7229,0.474854,-0.58667
0.586867,0.079058,-0.787631,-0.170217,8.933308,3.25632,-2.54613,-0.099157,-0.14295,-0.231735,0.718262,0.479248,-0.591064
0.586112,0.079656,-0.787904,-0.171273,9.090116,3.143663,-2.605947,-0.065997,-0.127191,-0.25517,0.713623,0.477051,-0.58667
0.585369,0.080476,-0.788157,-0.172265,8.902551,3.314062,-2.70657,-0.030705,-0.114427,-0.282712,0.716064,0.477051,-0.588867
0.584618,0.081392,-0.78839,-0.173318,8.798363,3.453331,-2.66181,-0.029584,-0.111034,-0.305782,0.70874,0.487793,-0.584961
0.583834,0.082233,-0.788595,-0.174621,8.744264,3.53827,-2.588809,-0.07832,-0.119576,-0.324522,0.706299,0.487793,-0.59375
0.583017,0.083042,-0.788773,-0.176164,8.803907,3.36903,-2.692674,-0.120188,-0.126732,-0.349152,0.706299,0.48999,-0.59375
0.582137,0.083977,-0.788967,-0.177753,8.808473,3.315044,-2.70289,-0.11123,-0.13488,-0.37624,0.706299,0.492188,-0.591553
0.581238,0.085137,-0.789155,-0.1793,8.861548,3.231171,-2.609743,-0.078373,-0.128307,-0.407902,0.70166,0.494385,-0.595947
0.580301,0.086587,-0.789378,-0.180653,8.840369,3.433325,-2.738975,-0.012068,-0.124854,-0.431828,0.703613,0.500977,-0.600586
0.579366,0.088131,-0.789603,-0.181918,8.908609,3.858693,-2.856475,0.012784,-0.119757,-0.436324,0.701172,0.505371,-0.596436
0.578468,0.089383,-0.789766,-0.18345,8.863339,4.155907,-2.730299,-0.066026,-0.122144,-0.420833,0.696533,0.507568,-0.598633
0.577588,0.090302,-0.78988,-0.185274,8.583037,4.188678,-2.476471,-0.153053,-0.130956,-0.402336,0.700928,0.511963,-0.59668
0.576705,0.091111,-0.789974,-0.187219,8.633261,4.045377,-1.984501,-0.185302,-0.135597,-0.399147,0.693848,0.511963,-0.594482
0.575841,0.092029,-0.790053,-0.189088,8.967924,3.762546,-2.131541,-0.161908,-0.125054,-0.407471,0.693604,0.518555,-0.596924
0.574896,0.09313,-0.790192,-0.190835,9.21026,3.795206,-2.762657,-0.117507,-0.13593,-0.424019,0.688721,0.525146,-0.601563
0.573939,0.094098,-0.790292,-0.192818,9.152302,4.287037,-2.904073,-0.171466,-0.142574,-0.43176,0.684082,0.5271,-0.601563
0.573059,0.094675,-0.790247,-0.195322,8.982183,4.471165,-2.953152,-0.305667,-0.138776,-0.429105,0.681641,0.531494,-0.597412
0.572149,0.094846,-0.790127,-0.198366,8.873359,4.282161,-3.12989,-0.44015,-0.160932,-0.429531,0.672119,0.540283,-0.595703
0.571139,0.094655,-0.789991,-0.201878,8.854403,4.14224,-2.908633,-0.554078,-0.198342,-0.430266,0.676514,0.544678,-0.5979
0.570061,0.094279,-0.789802,-0.205804,8.860204,3.978257,-2.603105,-0.641511,-0.218067,-0.45205,0.671875,0.549072,-0.59375
0.568917,0.093924,-0.789588,-0.209913,8.935678,3.778753,-2.485262,-0.667747,-0.228358,-0.479279,0.668945,0.560059,-0.592041
0.567707,0.09374,-0.789355,-0.214101,9.176896,3.98651,-2.653491,-0.660378,-0.230892,-0.51851,0.668701,0.56665,-0.590088
0.566537,0.093742,-0.78903,-0.218356,9.421735,4.102223,-3.067629,-0.65457,-0.207474,-0.555375,0.661621,0.571045,-0.594727
0.565406,0.093796,-0.788615,-0.222722,9.360777,4.245898,-3.183639,-0.670966,-0.190888,-0.576457,0.656982,0.575195,-0.583984
0.564263,0.093809,-0.788118,-0.227325,9.366032,4.313551,-3.100019,-0.716076,-0.189774,-0.598421,0.651855,0.588379,-0.58667
0.563178,0.093884,-0.787481,-0.232142,9.552378,4.579679,-2.938617,-0.750493,-0.166091,-0.632795,0.651367,0.599365,-0.578369
0.562156,0.093971,-0.786692,-0.237202,9.694235,4.300142,-3.033927,-0.795694,-0.143026,-0.661726,0.644043,0.605957,-0.578613
0.56111,0.094306,-0.785837,-0.242326,9.859526,4.413921,-2.995794,-0.780553,-0.128667,-0.710689,0.643799,0.614746,-0.570313
0.560068,0.094927,-0.784872,-0.247565,9.703449,4.260543,-3.030699,-0.771838,-0.104166,-0.769947,0.634277,0.621094,-0.574951
0.559027,0.095915,-0.783854,-0.252708,9.804233,4.283056,-2.95713,-0.718325,-0.078003,-0.818165,0.631348,0.634277,-0.566895
0.558026,0.097382,-0.782732,-0.25779,10.058338,4.614232,-2.800285,-0.661183,-0.0348,-0.886107,0.631104,0.643311,-0.560547
0.557029,0.098878,-0.781406,-0.263339,10.273452,4.652625,-2.716849,-0.741928,-0.018939,-0.946943,0.619141,0.654053,-0.558838
0.556024,0.100608,-0.77996,-0.269031,10.552087,4.727179,-2.80374,-0.743945,0.00264,-1.001788,0.618896,0.658447,-0.554688
0.555013,0.102386,-0.778283,-0.275234,10.786584,4.974396,-2.451043,-0.830936,0.019859,-1.071711,0.613281,0.682617,-0.55127
0.553973,0.10434,-0.776399,-0.281836,10.774868,4.580913,-2.363405,-0.884232,0.039489,-1.148654,0.611084,0.68042,-0.54248
0.552898,0.106709,-0.774351,-0.288613,10.708405,4.50174,-2.432317,-0.874066,0.072217,-1.238488,0.601318,0.697754,-0.538818
0.551706,0.109605,-0.772236,-0.295397,10.893161,4.430825,-2.519873,-0.818067,0.091736,-1.328492,0.60083,0.708984,-0.532715
