// fs=100 nSamples=955
// frame=world
// origFName=data/neura-sparse01/rawimu/S02-Trial-Walk-1
// idx=1120,2074
ori_1,ori_2,ori_3,ori_4,acc_1,acc_2,acc_3,gyr_1,gyr_2,gyr_3,mag_1,mag_2,mag_3
-0.42956,-0.583005,0.469557,-0.505074,9.614281,0.256235,0.133401,0.013231,-0.382767,0.130502,0.958496,-0.241455,-0.250977
-0.428078,-0.583839,0.470716,-0.50429,9.626468,-0.033134,-0.022005,0.059083,-0.408961,0.127945,0.954102,-0.239258,-0.259766
-0.426291,-0.58492,0.471746,-0.503587,9.671545,-0.243799,-0.149565,0.134409,-0.443311,0.127825,0.949707,-0.239258,-0.266357
-0.424097,-0.586333,0.472506,-0.503085,9.643722,-0.201779,-0.304521,0.258582,-0.46749,0.122671,0.956299,-0.241455,-0.270508
-0.421556,-0.587985,0.473102,-0.502731,9.57069,0.038153,-0.375661,0.359041,-0.493452,0.127799,0.956543,-0.24585,-0.272461
-0.418727,-0.58985,0.473611,-0.502431,9.556654,0.363095,-0.509495,0.415869,-0.528165,0.131368,0.952148,-0.248047,-0.283203
-0.415719,-0.591797,0.474089,-0.502189,9.561295,0.51836,-0.770918,0.455634,-0.544244,0.142859,0.949951,-0.24585,-0.283203
-0.412659,-0.593733,0.474676,-0.501873,9.567828,0.395815,-0.905109,0.439534,-0.565441,0.155894,0.952393,-0.254395,-0.289307
-0.409286,-0.595825,0.475116,-0.501739,9.62403,0.316689,-1.239944,0.531512,-0.577711,0.169335,0.947998,-0.252441,-0.293701
-0.405479,-0.598149,0.475175,-0.50201,9.541249,0.266598,-1.53851,0.669014,-0.562088,0.179326,0.943848,-0.256592,-0.291504
-0.401472,-0.600577,0.475053,-0.502447,9.549812,0.125028,-1.729605,0.750622,-0.558096,0.179966,0.946289,-0.265381,-0.297607
-0.39715,-0.603205,0.474717,-0.503051,9.709448,-0.072561,-1.698357,0.826748,-0.569774,0.181597,0.946533,-0.269775,-0.299805
-0.392444,-0.606051,0.473959,-0.504036,9.865853,-0.474517,-1.779653,0.969134,-0.549959,0.179648,0.939941,-0.27417,-0.308105
-0.387083,-0.609251,0.47254,-0.505655,9.814855,-0.748043,-1.847333,1.202929,-0.517687,0.181047,0.935791,-0.27832,-0.308105
-0.381162,-0.612766,0.470461,-0.507838,9.733442,-0.708597,-1.654016,1.42054,-0.483021,0.170988,0.94043,-0.282715,-0.305664
-0.374877,-0.616446,0.4679,-0.510422,9.786419,-0.265652,-1.839499,1.559398,-0.447796,0.164075,0.942627,-0.282715,-0.310059
-0.368899,-0.619754,0.465522,-0.512941,9.69692,0.507592,-2.199547,1.488819,-0.404343,0.183808,0.936279,-0.293457,-0.313965
-0.363721,-0.622438,0.463912,-0.514844,9.72383,1.032815,-2.279502,1.187603,-0.397357,0.211163,0.938721,-0.300049,-0.307373
-0.359955,-0.624135,0.463573,-0.51574,9.631704,0.995789,-2.58399,0.73288,-0.383158,0.241218,0.936279,-0.295654,-0.30957
-0.357033,-0.625239,0.464076,-0.515982,9.658948,0.592296,-2.407276,0.420163,-0.385549,0.268088,0.927979,-0.304443,-0.315918
-0.354888,-0.625803,0.465207,-0.515759,9.887132,0.171918,-2.158878,0.209374,-0.361667,0.280547,0.932373,-0.304443,-0.311523
-0.352643,-0.626393,0.466033,-0.515837,9.803271,-0.821763,-2.408019,0.250226,-0.313284,0.274534,0.928223,-0.311035,-0.320068
