// fs=100 nSamples=955
// frame=world
// origFName=data/neura-sparse01/rawimu/S02-Trial-Walk-1
// idx=1120,2074
ori_1,ori_2,ori_3,ori_4,acc_1,acc_2,acc_3,gyr_1,gyr_2,gyr_3,mag_1,mag_2,mag_3
-0.436764,-0.605219,0.492693,-0.447438,10.027145,1.216953,-1.071196,0.278266,0.143086,0.043875,1.027832,-0.245117,-0.252441
-0.436199,-0.605305,0.491815,-0.448836,9.889031,1.186185,-1.107041,0.288853,0.187215,0.055029,1.025635,-0.247314,-0.250244
-0.435585,-0.605376,0.49094,-0.450293,9.808626,1.180013,-1.013049,0.304186,0.194711,0.064938,1.025879,-0.251709,-0.24585
-0.43495,-0.605396,0.49003,-0.451868,9.865976,1.021623,-1.046621,0.312845,0.210411,0.079147,1.025879,-0.253906,-0.24585
-0.434335,-0.605278,0.489051,-0.453675,9.833014,0.881216,-1.188909,0.331538,0.262927,0.101441,1.02124,-0.256104,-0.241455
-0.43351,-0.605208,0.487862,-0.455833,9.677815,0.717072,-1.305384,0.405573,0.294784,0.122843,1.025879,-0.256104,-0.239258
-0.432349,-0.605307,0.48647,-0.458285,9.529913,0.672726,-1.435557,0.517124,0.303756,0.13586,1.025879,-0.253906,-0.235107
-0.430888,-0.605623,0.484828,-0.460976,9.486407,0.661182,-1.43324,0.622848,0.302481,0.132739,1.028564,-0.264893,-0.224121
-0.429121,-0.606145,0.482994,-0.463854,9.285565,0.574532,-1.259,0.708924,0.295711,0.133761,1.028564,-0.269287,-0.221924
-0.427047,-0.606873,0.481038,-0.466839,9.242599,0.52803,-1.225067,0.76791,0.265145,0.140122,1.026367,-0.26709,-0.219727
-0.424739,-0.607776,0.478958,-0.469898,9.237273,0.432934,-1.239929,0.847549,0.251211,0.133169,1.026367,-0.271484,-0.215332
-0.422109,-0.608914,0.476652,-0.473128,9.367711,0.368854,-1.395896,0.941734,0.234565,0.128816,1.017334,-0.27832,-0.210938
-0.419229,-0.610213,0.474209,-0.476459,9.444098,0.376038,-1.613779,1.010955,0.223,0.128275,1.024414,-0.280273,-0.20874
-0.416134,-0.611617,0.471752,-0.479799,9.501313,0.481042,-1.806591,1.039027,0.191424,0.138758,1.026855,-0.286865,-0.193604
-0.412958,-0.612957,0.469428,-0.483102,9.586527,0.62725,-1.671778,1.036272,0.177879,0.164539,1.031494,-0.289063,-0.195557
-0.409688,-0.614282,0.467018,-0.486525,9.585745,0.817038,-1.50225,1.046706,0.186429,0.178021,1.024658,-0.29126,-0.191162
-0.406568,-0.615441,0.464852,-0.489743,9.516473,0.993517,-1.571856,0.991341,0.177212,0.188648,1.022461,-0.29126,-0.184814
-0.403482,-0.61649,0.46285,-0.492861,9.396606,1.070843,-1.504564,0.949452,0.161413,0.208558,1.0271,-0.295654,-0.184814
-0.400588,-0.617373,0.461062,-0.495784,9.320056,1.318592,-1.39811,0.8767,0.158336,0.21476,1.0271,-0.297852,-0.176025
-0.39812,-0.618022,0.459538,-0.498371,9.368145,1.5631,-1.487966,0.751251,0.154249,0.200752,1.022705,-0.300049,-0.173828
-0.396218,-0.618381,0.458371,-0.500512,9.359461,1.712172,-1.5937,0.578575,0.155462,0.178389,1.027344,-0.300049,-0.169678
-0.394879,-0.618443,0.457596,-0.502199,9.25539,1.834886,-1.691301,0.417117,0.145724,0.162474,1.018311,-0.309082,-0.169434
-0.393917,-0.618316,0.457224,-0.503448,9.255571,1.764255,-1.785228,0.262274,0.117174,0.15649,1.025146,-0.306641,-0.167236
-0.393042,-0.618149,0.456997,-0.504542,9.309201,1.328351,-1.667193,0.225876,0.09493,0.157853,1.020752,-0.315674,-0.166992
-0.392118,-0.617988,0.456839,-0.505601,9.340048,0.806962,-1.276551,0.215965,0.083521,0.167366,1.022949,-0.311279,-0.165039
-0.39145,-0.617702,0.456899,-0.506414,9.358586,0.185942,-1.083865,0.132559,0.068705,0.161676,1.020752,-0.313477,-0.162842
-0.390844,-0.61748,0.456937,-0.507117,9.317864,-0.441958,-1.020497,0.11972,0.059563,0.137105,1.027832,-0.31543,-0.166992
-0.390188,-0.617498,0.456768,-0.507752,9.476228,-0.852456,-1.220531,0.17028,0.035014,0.09012,1.018555,-0.315674,-0.164795
-0.389291,-0.617841,0.456188,-0.508544,9.699946,-1.303954,-1.298392,0.270581,0.034788,0.045532,1.018555,-0.317871,-0.162598
-0.38817,-0.618433,0.45532,-0.509458,9.985715,-1.73407,-1.296234,0.370885,0.023591,0.019762,1.018555,-0.317871,-0.162598
-0.386697,-0.61924,0.45414,-0.51065,10.322893,-1.955804,-1.34696,0.475541,0.031234,0.018885,1.018799,-0.320068,-0.158447
-0.384999,-0.620032,0.452734,-0.512219,10.471417,-1.964497,-1.327413,0.570476,0.073331,0.044488,1.018799,-0.32666,-0.156006
-0.382954,-0.620777,0.451383,-0.514039,10.218362,-1.607014,-1.315017,0.61588,0.076698,0.110489,1.023438,-0.328857,-0.156006
-0.380768,-0.621383,0.450349,-0.515833,9.667656,-1.097452,-1.501932,0.582318,0.04728,0.17591,1.019043,-0.328857,-0.151611
-0.378372,-0.622016,0.449678,-0.517417,9.477204,-0.361976,-1.261687,0.559484,-0.024685,0.223169,1.019043,-0.331055,-0.149414
-0.376058,-0.622618,0.449352,-0.518662,9.53452,0.211337,-1.024645,0.483263,-0.086304,0.235621,1.019043,-0.328857,-0.151611
-0.374008,-0.623063,0.4493,-0.519653,9.260993,0.6173,-0.921077,0.38499,-0.094551,0.23649,1.016846,-0.335449,-0.153564
-0.372298,-0.623396,0.449676,-0.520157,9.100365,0.891643,-0.763891,0.263241,-0.147795,0.228401,1.012207,-0.337891,-0.151367
-0.37083,-0.623793,0.450366,-0.520133,9.249428,0.904833,-0.608016,0.140441,-0.21907,0.196918,1.012451,-0.340088,-0.151367
-0.369793,-0.624104,0.451582,-0.519443,9.397198,0.688191,-0.823027,-0.023749,-0.297238,0.176533,1.012451,-0.342285,-0.157715
-0.369191,-0.624187,0.453289,-0.518283,9.353451,0.550777,-0.994194,-0.19903,-0.325549,0.178023,1.01709,-0.346436,-0.159912
-0.368881,-0.624098,0.45562,-0.516564,9.306836,0.250714,-1.192849,-0.356984,-0.400555,0.201201,1.012451,-0.342285,-0.16626
-0.368653,-0.62391,0.458449,-0.514447,9.383299,-0.047981,-1.189111,-0.468902,-0.46579,0.233197,1.012695,-0.34668,-0.174805
-0.36865,-0.623496,0.461726,-0.512015,9.393345,-0.397523,-1.228152,-0.572744,-0.497771,0.264417,1.010254,-0.34668,-0.177002
-0.368565,-0.62309,0.465082,-0.509527,9.465626,-0.728172,-1.199086,-0.590894,-0.515412,0.276902,1.008057,-0.351074,-0.189697
-0.368468,-0.622736,0.468342,-0.507037,9.660215,-0.896392,-1.117953,-0.56477,-0.519257,0.262509,1.003418,-0.351074,-0.196045
-0.368256,-0.622514,0.471228,-0.504786,9.858735,-1.127679,-0.993318,-0.491776,-0.481773,0.23153,1.008301,-0.357666,-0.202393
-0.367925,-0.622377,0.473681,-0.502895,9.903278,-1.245358,-0.935079,-0.38652,-0.428349,0.209221,0.999023,-0.355713,-0.210938
-0.367376,-0.622387,0.475654,-0.50142,9.811359,-1.206267,-0.907573,-0.267308,-0.373363,0.186946,1.001465,-0.362305,-0.215088
-0.366737,-0.622417,0.47735,-0.500238,9.715628,-0.887312,-0.879381,-0.195253,-0.329294,0.181475,1.001465,-0.35791,-0.219482
-0.366213,-0.622391,0.479049,-0.499029,9.545855,-0.541479,-0.85646,-0.220247,-0.31404,0.17338,0.996826,-0.355713,-0.22168
-0.365733,-0.622369,0.48086,-0.497664,9.388971,-0.213932,-0.967848,-0.235661,-0.340986,0.171426,0.992188,-0.360107,-0.228027
-0.36531,-0.622346,0.48277,-0.496153,9.364791,0.109886,-0.840032,-0.282659,-0.357602,0.167256,0.994629,-0.360107,-0.230225
-0.365059,-0.622318,0.484964,-0.494229,9.372638,0.383239,-0.72181,-0.359031,-0.415714,0.15562,0.99707,-0.362305,-0.236572
-0.364964,-0.622274,0.487415,-0.491939,9.40151,0.360909,-0.862341,-0.453837,-0.46023,0.147155,0.994385,-0.355713,-0.245361
-0.365045,-0.622121,0.490177,-0.489319,8.96601,0.200447,-0.827907,-0.526408,-0.499848,0.155638,0.994629,-0.35791,-0.251709
-0.364856,-0.622111,0.493233,-0.486394,8.752208,0.066961,-0.873626,-0.561299,-0.596063,0.181759,0.992432,-0.360107,-0.262207
-0.364836,-0.622145,0.496625,-0.482902,9.104858,0.007809,-1.165231,-0.644328,-0.681822,0.161903,0.98999,-0.360352,-0.275146
-0.364934,-0.622301,0.500002,-0.479127,9.388225,-0.361398,-1.592585,-0.700134,-0.712965,0.115646,0.985352,-0.360352,-0.283691
