// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.3.4
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Quat_q0,Quat_q1,Quat_q2,Quat_q3
27626,,9.603075,1.055855,-1.703874,0.022553,0.029555,0.003162,1.031738,-0.222900,-0.240234,-0.467107,-0.584215,0.500770,-0.435583
27627,,9.625386,1.117830,-1.781890,0.024851,0.008187,0.000603,1.036377,-0.218506,-0.240479,-0.467028,-0.584258,0.500736,-0.435650
27628,,9.676507,1.085563,-1.747406,0.013425,0.007122,0.000413,1.034180,-0.225098,-0.246582,-0.466988,-0.584272,0.500721,-0.435690
27629,,9.627901,1.057602,-1.699635,-0.001592,0.009243,0.000049,1.029541,-0.222900,-0.238037,-0.466991,-0.584252,0.500741,-0.435692
27630,,9.575440,1.086292,-1.698409,-0.012880,0.007364,-0.002140,1.033936,-0.220703,-0.242432,-0.467030,-0.584214,0.500773,-0.435664
27631,,9.602563,1.074337,-1.715283,-0.007732,-0.000073,-0.006105,1.031738,-0.220703,-0.238037,-0.467040,-0.584215,0.500809,-0.435609
27632,,9.653842,1.065456,-1.730888,0.003663,0.005981,-0.010003,1.033936,-0.220703,-0.238281,-0.467049,-0.584236,0.500789,-0.435597
27633,,9.703734,1.053054,-1.710929,0.004759,0.026905,-0.005969,1.029297,-0.218506,-0.240234,-0.467090,-0.584207,0.500735,-0.435652
27634,,9.674208,1.081370,-1.671725,0.008756,0.039014,-0.005519,1.031738,-0.222900,-0.235840,-0.467158,-0.584155,0.500641,-0.435758
27635,,9.650670,1.078534,-1.669302,0.016235,0.043763,0.001196,1.027344,-0.225342,-0.240234,-0.467192,-0.584098,0.500544,-0.435909
27636,,9.651428,1.078217,-1.665121,0.013874,0.046247,0.000184,1.034180,-0.225098,-0.235840,-0.467243,-0.584035,0.500430,-0.436070
27637,,9.625485,1.112654,-1.693418,0.013879,0.046237,0.000187,1.031738,-0.222900,-0.235840,-0.467292,-0.583969,0.500330,-0.436219
27638,,9.580762,1.091631,-1.710902,-0.000740,0.042852,-0.002793,1.031738,-0.222900,-0.240234,-0.467384,-0.583888,0.500245,-0.436328
27639,,9.600298,1.147753,-1.717239,-0.013753,0.051012,-0.002948,1.031982,-0.225098,-0.240234,-0.467533,-0.583755,0.500185,-0.436415
27640,,9.605413,1.114231,-1.714879,-0.022203,0.059975,-0.003159,1.034180,-0.222900,-0.236084,-0.467733,-0.583583,0.500112,-0.436515
27641,,9.582237,1.112050,-1.710218,-0.024699,0.063261,-0.002171,1.036377,-0.222900,-0.236084,-0.467942,-0.583396,0.500049,-0.436612
27642,,9.564557,1.057211,-1.692616,-0.024819,0.072079,-0.007642,1.031982,-0.225098,-0.238037,-0.468190,-0.583204,0.499937,-0.436731
27643,,9.565619,1.058462,-1.685822,-0.038182,0.063012,-0.007392,1.029297,-0.218506,-0.242432,-0.468450,-0.582999,0.499889,-0.436781
27644,,9.596700,1.032077,-1.716014,-0.051240,0.047345,-0.007063,1.029541,-0.222900,-0.235840,-0.468716,-0.582792,0.499903,-0.436757
27645,,9.653544,1.012203,-1.780500,-0.045668,0.029456,-0.009546,1.036377,-0.220703,-0.233887,-0.468918,-0.582648,0.499944,-0.436685
27646,,9.725860,1.000039,-1.722966,-0.031629,0.023362,-0.008910,1.034180,-0.222900,-0.238037,-0.469067,-0.582547,0.499960,-0.436640
27647,,9.745546,1.015829,-1.665537,-0.029809,0.027160,-0.003281,1.033936,-0.220703,-0.231689,-0.469204,-0.582430,0.499989,-0.436616
27648,,9.639362,1.028972,-1.562935,-0.031913,0.024969,-0.004907,1.033936,-0.218506,-0.233887,-0.469349,-0.582315,0.500013,-0.436586
27649,,9.630541,1.075809,-1.504009,-0.034109,0.021659,-0.003843,1.036377,-0.222900,-0.233887,-0.469486,-0.582201,0.500063,-0.436534
27650,,9.628989,1.073433,-1.466835,-0.034223,0.030486,-0.009301,1.031738,-0.220703,-0.236084,-0.469662,-0.582080,0.500067,-0.436502
27651,,9.637344,1.047886,-1.535303,-0.021533,0.033926,-0.013287,1.034180,-0.222900,-0.229492,-0.469813,-0.581992,0.500033,-0.436495
27652,,9.669641,1.066378,-1.666590,-0.001654,0.051757,-0.013981,1.036377,-0.220703,-0.233887,-0.469956,-0.581914,0.499899,-0.436598
27653,,9.670489,1.067339,-1.661043,0.010054,0.063901,-0.007343,1.031738,-0.222900,-0.229492,-0.470077,-0.581820,0.499744,-0.436771
27654,,9.693741,1.067146,-1.618939,0.007610,0.065245,-0.005662,1.031494,-0.216309,-0.229736,-0.470207,-0.581714,0.499581,-0.436958
27655,,9.674734,1.030437,-1.618164,0.005621,0.054221,-0.001834,1.029541,-0.222900,-0.227295,-0.470305,-0.581617,0.499474,-0.437104
27656,,9.666919,1.099047,-1.607168,0.004371,0.039162,-0.008008,1.029541,-0.220703,-0.229492,-0.470388,-0.581564,0.499377,-0.437198
27657,,9.661286,1.130185,-1.565496,-0.014607,0.044892,-0.001928,1.033936,-0.220703,-0.233887,-0.470521,-0.581440,0.499335,-0.437266
27658,,9.590493,1.103453,-1.550720,-0.023419,0.041628,-0.005851,1.029541,-0.225098,-0.229492,-0.470686,-0.581309,0.499301,-0.437302
27659,,9.597339,1.073784,-1.584177,-0.025618,0.038320,-0.004794,1.034180,-0.222900,-0.229492,-0.470841,-0.581181,0.499290,-0.437317
27660,,9.616857,1.089684,-1.525352,-0.036681,0.038649,-0.012427,1.034180,-0.222900,-0.231689,-0.471045,-0.581049,0.499265,-0.437303
27661,,9.664568,1.116069,-1.533141,-0.033244,0.041254,-0.014311,1.031738,-0.218506,-0.227539,-0.471250,-0.580920,0.499236,-0.437285
27662,,9.646099,1.103250,-1.583644,-0.028784,0.040945,-0.011651,1.031738,-0.220703,-0.231689,-0.471440,-0.580794,0.499196,-0.437293
27663,,9.669674,1.126601,-1.593149,-0.018286,0.041093,-0.014548,1.036377,-0.220703,-0.225342,-0.471603,-0.580701,0.499135,-0.437312
27664,,9.617521,1.156484,-1.589239,-0.013829,0.040789,-0.011888,1.034180,-0.222900,-0.225342,-0.471749,-0.580612,0.499060,-0.437357
27665,,9.646499,1.126456,-1.586889,-0.002311,0.038030,-0.010241,1.033936,-0.220703,-0.227539,-0.471847,-0.580553,0.498983,-0.437417
27666,,9.622803,1.124533,-1.585064,0.002297,0.036923,-0.009580,1.031738,-0.220703,-0.231689,-0.471928,-0.580508,0.498885,-0.437501
27667,,9.668386,1.146198,-1.559505,0.008126,0.030177,-0.005690,1.036133,-0.216309,-0.225342,-0.471967,-0.580480,0.498817,-0.437575
27668,,9.675224,1.116158,-1.594303,-0.004468,0.027832,-0.004439,1.033936,-0.218506,-0.225342,-0.472041,-0.580419,0.498779,-0.437619
27669,,9.698742,1.097298,-1.539837,-0.014751,0.029897,-0.006924,1.036133,-0.214111,-0.223389,-0.472148,-0.580340,0.498759,-0.437632
27670,,9.698026,1.075970,-1.487074,-0.030566,0.027164,-0.009173,1.038574,-0.218506,-0.227539,-0.472309,-0.580230,0.498765,-0.437597
27671,,9.699419,1.058329,-1.468693,-0.030669,0.026039,-0.006482,1.036377,-0.218506,-0.223145,-0.472451,-0.580120,0.498790,-0.437560
27672,,9.626089,1.069275,-1.487339,-0.020193,0.016281,-0.001244,1.036133,-0.216309,-0.225342,-0.472533,-0.580042,0.498818,-0.437542
27673,,9.651597,1.053884,-1.467945,-0.013371,0.023438,-0.005685,1.038574,-0.220703,-0.220947,-0.472618,-0.579978,0.498813,-0.437543
27674,,9.628813,1.032750,-1.451816,-0.006715,0.026438,-0.004064,1.041016,-0.220459,-0.223145,-0.472691,-0.579918,0.498778,-0.437584
