// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.3.4
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Quat_q0,Quat_q1,Quat_q2,Quat_q3
27626,,9.742626,-1.040498,-1.103610,0.012095,0.031404,-0.003602,1.015625,-0.422119,-0.017334,-0.299288,-0.628597,0.404265,-0.593179
27627,,9.738562,-1.019879,-1.113050,0.007755,0.026265,0.000869,1.008789,-0.422363,-0.015137,-0.299285,-0.628579,0.404212,-0.593236
27628,,9.716623,-0.997752,-1.066556,-0.003013,0.009369,-0.001767,1.008789,-0.426758,-0.019531,-0.299300,-0.628596,0.404235,-0.593195
27629,,9.706022,-1.030132,-1.068027,-0.009785,0.012631,-0.003798,1.010986,-0.422363,-0.013184,-0.299341,-0.628599,0.404246,-0.593164
27630,,9.739116,-1.019078,-1.108924,0.011272,0.015145,-0.005433,1.008545,-0.420166,-0.010986,-0.299333,-0.628628,0.404207,-0.593164
27631,,9.752722,-0.996423,-0.978323,0.013934,0.017614,-0.004817,1.015625,-0.422119,-0.015381,-0.299309,-0.628656,0.404129,-0.593199
27632,,9.745109,-0.958263,-0.958378,0.015502,0.031312,-0.007285,1.013428,-0.422119,-0.017334,-0.299327,-0.628647,0.404047,-0.593256
27633,,9.738260,-1.007628,-0.987494,0.020710,0.029226,-0.006221,1.013428,-0.422119,-0.013184,-0.299317,-0.628650,0.403936,-0.593333
27634,,9.776005,-1.017104,-1.013720,0.015312,0.041554,-0.008003,1.006348,-0.420166,-0.017578,-0.299358,-0.628611,0.403837,-0.593421
27635,,9.757042,-1.007990,-1.036515,0.018486,0.045455,-0.009232,1.015869,-0.426758,-0.010742,-0.299398,-0.628567,0.403702,-0.593539
27636,,9.751287,-1.060628,-1.021656,0.016533,0.052235,-0.008196,1.015381,-0.417725,-0.015381,-0.299457,-0.628499,0.403583,-0.593663
27637,,9.748261,-1.043036,-0.986963,0.014419,0.045746,-0.004158,1.010986,-0.424561,-0.015137,-0.299487,-0.628443,0.403464,-0.593787
27638,,9.724925,-1.013694,-1.022159,0.010350,0.042846,-0.005308,1.015625,-0.422119,-0.017334,-0.299538,-0.628388,0.403386,-0.593873
27639,,9.705277,-1.001371,-1.086919,-0.003933,0.051943,-0.005107,1.017822,-0.417480,-0.017578,-0.299647,-0.628284,0.403319,-0.593973
27640,,9.705840,-1.000644,-1.082555,-0.015831,0.040021,-0.007673,1.015625,-0.419922,-0.015381,-0.299781,-0.628203,0.403315,-0.593994
27641,,9.677612,-1.030985,-1.024435,-0.019825,0.037910,-0.005492,1.010986,-0.422363,-0.015137,-0.299930,-0.628109,0.403330,-0.594009
27642,,9.718908,-0.973042,-0.988600,-0.016567,0.039419,-0.009609,1.017822,-0.419922,-0.021973,-0.300071,-0.628032,0.403323,-0.594023
27643,,9.669874,-0.988190,-1.041784,-0.000918,0.042585,-0.003323,1.015625,-0.422119,-0.010986,-0.300160,-0.627949,0.403281,-0.594095
27644,,9.704087,-0.980465,-1.038187,0.004179,0.030281,-0.008635,1.017822,-0.422119,-0.015381,-0.300215,-0.627928,0.403230,-0.594124
27645,,9.749988,-1.027485,-1.082174,0.006328,0.031329,-0.006172,1.013428,-0.424561,-0.010742,-0.300251,-0.627905,0.403155,-0.594181
27646,,9.751014,-1.030625,-1.036766,0.012700,0.033678,-0.002111,1.006348,-0.422363,-0.019531,-0.300266,-0.627874,0.403094,-0.594247
27647,,9.690808,-0.995045,-1.001300,0.010625,0.033425,-0.001244,1.015625,-0.422119,-0.013184,-0.300278,-0.627840,0.403023,-0.594325
27648,,9.763029,-1.001211,-0.985455,-0.001392,0.032530,-0.001214,1.008545,-0.417725,-0.017578,-0.300333,-0.627789,0.403009,-0.594361
27649,,9.748363,-1.013215,-0.997036,0.005426,0.035519,-0.002328,1.010986,-0.419922,-0.013184,-0.300383,-0.627736,0.402959,-0.594425
27650,,9.730004,-1.007747,-0.978784,-0.006144,0.035262,-0.007479,1.010986,-0.422363,-0.013184,-0.300476,-0.627683,0.402935,-0.594451
27651,,9.715382,-1.019134,-0.990683,-0.023414,0.030208,-0.005368,1.013184,-0.417725,-0.008789,-0.300606,-0.627613,0.402960,-0.594442
27652,,9.745139,-0.990637,-1.000714,-0.026864,0.020876,-0.004755,1.008789,-0.424561,-0.010742,-0.300727,-0.627566,0.403028,-0.594384
27653,,9.729888,-0.998729,-1.055584,-0.015396,0.028992,-0.003215,1.013184,-0.417725,-0.010986,-0.300814,-0.627513,0.403027,-0.594397
27654,,9.689434,-0.974571,-0.951332,-0.011393,0.031114,-0.005391,1.015381,-0.415283,-0.015381,-0.300909,-0.627460,0.403031,-0.594402
27655,,9.741816,-0.968342,-1.005150,0.000779,0.030407,-0.004967,1.015625,-0.419922,-0.013184,-0.300977,-0.627417,0.402998,-0.594435
27656,,9.731574,-1.000704,-1.003879,0.023649,0.045853,-0.005210,1.013184,-0.419922,-0.015381,-0.300992,-0.627373,0.402877,-0.594557
27657,,9.679556,-1.002439,-0.984451,0.026766,0.048975,-0.009764,1.010986,-0.424561,-0.012939,-0.301022,-0.627328,0.402717,-0.594697
