subj,act,startFrame,endFrame
S01,Trial-FigureofEight-1,-1,-1
S01,Trial-FigureofEight-2,-1,-1
S01,Trial-Fivemin-1,-1,-1
S01,Trial-Fivemin-2,-1,-1
S01,Trial-HighKneeJog-1,-1,-1
S01,Trial-HighKneeJog-2,-1,-1
S01,Trial-Jog-1,-1,-1
S01,Trial-Jog-2,-1,-1
S01,Trial-JumpingJacks-1,-1,-1
S01,Trial-JumpingJacks-2,-1,-1
S01,Trial-SpeedSkater-1,-1,-1
S01,Trial-SpeedSkater-2,-1,-1
S01,Trial-Static-1,-1,-1
S01,Trial-TUG-1,-1,-1
S01,Trial-Walk-1,-1,-1
S01,Trial-Walk-2,-1,-1
S01,Trial-Zigzag-1,-1,-1
S01,Trial-Zigzag-2,-1,-1
S02,Trial-FigureofEight-1,-1,-1
S02,Trial-FigureofEight-2,-1,-1
S02,Trial-Fivemin-1,-1,-1
S02,Trial-Fivemin-2,-1,-1
S02,Trial-HighKneeJog-1,-1,-1
S02,Trial-HighKneeJog-2,-1,-1
S02,Trial-Jog-1,-1,-1
S02,Trial-Jog-2,-1,-1
S02,Trial-JumpingJacks-1,-1,-1
S02,Trial-JumpingJacks-2,-1,-1
S02,Trial-SpeedSkater-1,-1,-1
S02,Trial-SpeedSkater-2,-1,-1
S02,Trial-Static-1,-1,-1
S02,Trial-TUG-1,-1,-1
S02,Trial-TUG-2,-1,-1
S02,Trial-Walk-1,-1,-1
S02,Trial-Walk-2,-1,-1
S02,Trial-Zigzag-1,-1,-1
S02,Trial-Zigzag-2,-1,-1
S03,Trial-FigureofEight-1,-1,-1
S03,Trial-FigureofEight-2,-1,-1
S03,Trial-Fivemin-1,-1,-1
S03,Trial-Fivemin-2,-1,-1
S03,Trial-HighKneeJog-1,-1,-1
S03,Trial-HighKneeJog-2,-1,-1
S03,Trial-Jog-1,-1,-1
S03,Trial-Jog-2,-1,-1
S03,Trial-JumpingJacks-1,-1,-1
S03,Trial-JumpingJacks-2,-1,-1
S03,Trial-SpeedSkater-1,-1,-1
S03,Trial-SpeedSkater-2,-1,-1
S03,Trial-Static-1,-1,-1
S03,Trial-TUG-1,-1,-1
S03,Trial-TUG-2,-1,-1
S03,Trial-Walk-1,-1,-1
S03,Trial-Walk-2,-1,-1
S03,Trial-Zigzag-1,-1,-1
S03,Trial-Zigzag-2,-1,-1
S04,Trial-FigureofEight-1,-1,-1
S04,Trial-FigureofEight-2,-1,-1
S04,Trial-Fivemin-1,-1,-1
