// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.3.4
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Quat_q0,Quat_q1,Quat_q2,Quat_q3
27626,,9.857981,-0.260117,-1.129885,0.006473,0.032086,0.011532,0.984619,-0.335205,-0.148438,-0.455443,-0.530051,0.531994,-0.478122
27627,,9.846972,-0.244339,-1.113497,-0.003431,0.029867,0.013563,0.982422,-0.333008,-0.150635,-0.455501,-0.529993,0.532007,-0.478116
27628,,9.839015,-0.219422,-1.150919,-0.001448,0.031070,0.011509,0.984375,-0.326172,-0.148682,-0.455526,-0.529980,0.531987,-0.478129
27629,,9.837901,-0.174961,-1.118138,-0.009057,0.029075,0.014832,0.984619,-0.335205,-0.152832,-0.455593,-0.529910,0.532017,-0.478110
27630,,9.846837,-0.225799,-1.178786,-0.013103,0.026634,0.011623,0.982178,-0.328613,-0.146484,-0.455637,-0.529880,0.532035,-0.478080
27631,,9.837228,-0.255656,-1.192664,-0.002736,0.027376,0.014633,0.982422,-0.333008,-0.150635,-0.455685,-0.529827,0.532056,-0.478071
27632,,9.809030,-0.264699,-1.159858,0.005474,0.023044,0.013309,0.979980,-0.330811,-0.150879,-0.455666,-0.529844,0.532042,-0.478085
27633,,9.829073,-0.208755,-1.124396,0.010552,0.025824,0.012673,0.984619,-0.333008,-0.150635,-0.455681,-0.529827,0.532033,-0.478099
27634,,9.875896,-0.199836,-1.095162,0.003276,0.026658,0.011081,0.984619,-0.333008,-0.150635,-0.455683,-0.529836,0.532011,-0.478112
27635,,9.867456,-0.151536,-1.029239,-0.006869,0.025456,0.017074,0.984619,-0.330811,-0.150879,-0.455732,-0.529769,0.532055,-0.478090
27636,,9.839741,-0.184010,-1.100349,-0.030933,0.023412,0.013604,0.986816,-0.328369,-0.150879,-0.455810,-0.529702,0.532128,-0.478009
27637,,9.864081,-0.264905,-1.154656,-0.039891,0.022059,0.017422,0.984619,-0.333008,-0.152832,-0.455935,-0.529571,0.532255,-0.477894
27638,,9.825028,-0.280335,-1.212792,-0.030478,0.021932,0.018645,0.961914,-0.338135,-0.148193,-0.455996,-0.529495,0.532344,-0.477822
27639,,9.854588,-0.296237,-1.167123,-0.023118,0.020575,0.014593,0.982178,-0.326416,-0.153076,-0.456087,-0.529400,0.532442,-0.477730
27640,,9.825439,-0.282787,-1.208891,-0.023917,0.019220,0.014474,0.986816,-0.330811,-0.155273,-0.456133,-0.529356,0.532510,-0.477659
27641,,9.829688,-0.297023,-1.186755,-0.006887,0.021084,0.012384,0.982422,-0.333008,-0.152832,-0.456183,-0.529313,0.532551,-0.477612
27642,,9.844515,-0.305926,-1.251674,-0.004898,0.022288,0.010332,0.982422,-0.335449,-0.148438,-0.456197,-0.529316,0.532556,-0.477590
27643,,9.843293,-0.261340,-1.219794,-0.001362,0.018030,0.012062,0.979980,-0.330811,-0.153076,-0.456224,-0.529292,0.532593,-0.477551
27644,,9.857437,-0.246952,-1.181003,0.000880,0.022580,0.010757,0.982422,-0.333008,-0.155029,-0.456222,-0.529306,0.532584,-0.477546
27645,,9.853678,-0.234838,-1.198816,-0.008283,0.026052,0.010284,0.984375,-0.328613,-0.155273,-0.456298,-0.529249,0.532618,-0.477500
27646,,9.869346,-0.265874,-1.189196,-0.011668,0.029816,0.010234,0.982178,-0.330811,-0.150879,-0.456350,-0.529219,0.532621,-0.477480
27647,,9.879589,-0.238154,-1.169504,-0.007931,0.033232,0.010109,0.982178,-0.330811,-0.153076,-0.456440,-0.529150,0.532631,-0.477458
27648,,9.837465,-0.262107,-1.172898,-0.008881,0.032371,0.008312,0.986816,-0.328369,-0.153076,-0.456496,-0.529126,0.532618,-0.477447
27649,,9.826470,-0.245917,-1.156399,-0.000812,0.032879,0.010042,0.982178,-0.330811,-0.150879,-0.456566,-0.529075,0.532611,-0.477444
27650,,9.822837,-0.233668,-1.173446,-0.000417,0.031379,0.007744,0.982422,-0.335449,-0.150635,-0.456598,-0.529074,0.532577,-0.477452
27651,,9.823166,-0.234485,-1.170523,-0.001865,0.028180,0.009173,0.984375,-0.328613,-0.148682,-0.456660,-0.529032,0.532584,-0.477432
27652,,9.848703,-0.236958,-1.144055,-0.001614,0.031523,0.009926,0.984619,-0.330811,-0.155273,-0.456690,-0.529022,0.532559,-0.477442
27653,,9.839167,-0.266488,-1.157539,0.004014,0.032305,0.008682,0.986816,-0.333008,-0.150635,-0.456748,-0.528988,0.532537,-0.477448
27654,,9.816786,-0.233361,-1.127760,0.009790,0.032593,0.009115,0.989258,-0.333008,-0.155273,-0.456753,-0.529004,0.532480,-0.477489
27655,,9.859593,-0.211244,-1.118041,0.003908,0.028466,0.009613,0.982178,-0.330811,-0.153076,-0.456801,-0.528974,0.532473,-0.477485
27656,,9.830789,-0.197543,-1.158864,-0.001620,0.031519,0.009935,0.981934,-0.323975,-0.148682,-0.456831,-0.528964,0.532449,-0.477495
27657,,9.813823,-0.223225,-1.138902,0.004157,0.031806,0.010371,0.986816,-0.333008,-0.148438,-0.456882,-0.528929,0.532430,-0.477505
27658,,9.846748,-0.229976,-1.145896,0.007834,0.027054,0.013782,0.984375,-0.328613,-0.150879,-0.456866,-0.528941,0.532403,-0.477538
27659,,9.839569,-0.227285,-1.109746,0.010228,0.026757,0.009434,0.982422,-0.333008,-0.152832,-0.456889,-0.528934,0.532379,-0.477550
27660,,9.835922,-0.215365,-1.127388,0.011865,0.025130,0.012292,0.989014,-0.330566,-0.150879,-0.456861,-0.528964,0.532342,-0.477585
27661,,9.871185,-0.189550,-1.084716,0.001654,0.023913,0.010922,0.986572,-0.326172,-0.148682,-0.456898,-0.528937,0.532354,-0.477566
27662,,9.897792,-0.215555,-1.162399,-0.000385,0.027038,0.010371,0.982422,-0.333008,-0.148438,-0.456913,-0.528939,0.532338,-0.477568
27663,,9.865464,-0.211132,-1.149788,-0.007909,0.028890,0.012735,0.986816,-0.330811,-0.146240,-0.456979,-0.528879,0.532358,-0.477547
27664,,9.826902,-0.226156,-1.207440,-0.000934,0.029027,0.011002,0.982178,-0.328613,-0.148682,-0.456998,-0.528873,0.532341,-0.477555
27665,,9.869123,-0.304665,-1.203955,-0.008710,0.027537,0.012612,0.984619,-0.333008,-0.152832,-0.457062,-0.528817,0.532365,-0.477530
27666,,9.850512,-0.284947,-1.154480,0.012109,0.028461,0.013071,0.984375,-0.328613,-0.150879,-0.457040,-0.528837,0.532322,-0.477576
27667,,9.837873,-0.223604,-1.108607,0.016144,0.026536,0.011582,0.984619,-0.333008,-0.146240,-0.457045,-0.528835,0.532295,-0.477603
27668,,9.819041,-0.181695,-1.133212,0.019776,0.026110,0.012397,0.984375,-0.326172,-0.146484,-0.456999,-0.528880,0.532238,-0.477662
27669,,9.869489,-0.186319,-1.083399,0.013344,0.023982,0.013504,0.982178,-0.330811,-0.146240,-0.456991,-0.528881,0.532218,-0.477690
27670,,9.840813,-0.173093,-1.124767,0.007817,0.027039,0.013816,0.982422,-0.333008,-0.150635,-0.456975,-0.528893,0.532192,-0.477722
27671,,9.892791,-0.223430,-1.104620,0.000839,0.026904,0.015547,0.984375,-0.326172,-0.148682,-0.457009,-0.528846,0.532209,-0.477722
27672,,9.927922,-0.175889,-1.135386,0.010498,0.030101,0.017566,0.979980,-0.330811,-0.146240,-0.456986,-0.528846,0.532178,-0.477778
27673,,9.843211,-0.223570,-1.146348,-0.001451,0.026686,0.014241,0.984375,-0.326172,-0.148682,-0.457025,-0.528804,0.532192,-0.477772
27674,,9.879951,-0.243622,-1.133156,0.002835,0.028101,0.013510,0.989014,-0.330566,-0.148682,-0.457026,-0.528802,0.532174,-0.477793
27675,,9.841524,-0.281175,-1.117098,0.004323,0.026965,0.014695,0.982178,-0.328613,-0.148682,-0.457049,-0.528772,0.532173,-0.477805
27676,,9.869077,-0.229468,-1.114732,0.011192,0.023262,0.013896,0.984619,-0.330811,-0.148682,-0.457014,-0.528800,0.532147,-0.477837
27677,,9.825249,-0.208308,-1.089502,0.007701,0.023196,0.014760,0.982178,-0.330811,-0.144043,-0.457021,-0.528783,0.532151,-0.477845
27678,,9.864134,-0.195967,-1.026651,0.003412,0.021781,0.015492,0.982178,-0.330811,-0.150879,-0.456999,-0.528793,0.532151,-0.477855
27679,,9.854547,-0.203780,-1.115128,-0.004651,0.021286,0.013728,0.982422,-0.333008,-0.150635,-0.457035,-0.528754,0.532187,-0.477824
27680,,9.841136,-0.220854,-1.149863,-0.003975,0.023148,0.019522,0.984375,-0.328613,-0.148682,-0.457026,-0.528733,0.532212,-0.477827
27681,,9.827710,-0.238066,-1.184788,-0.005967,0.017601,0.016827,0.977783,-0.335449,-0.146240,-0.457051,-0.528690,0.532270,-0.477786
27682,,9.860579,-0.245220,-1.192432,-0.000769,0.024195,0.015311,0.984619,-0.330811,-0.153076,-0.457047,-0.528685,0.532274,-0.477792
27683,,9.831915,-0.254170,-1.160135,0.004066,0.023615,0.013959,0.984619,-0.330811,-0.150879,-0.457071,-0.528654,0.532291,-0.477784
27684,,9.878403,-0.245850,-1.130650,0.010528,0.021407,0.015469,0.984375,-0.328613,-0.150879,-0.457029,-0.528681,0.532275,-0.477812
27685,,9.830801,-0.211661,-1.125969,0.008382,0.020701,0.015834,0.980225,-0.335449,-0.148438,-0.457027,-0.528667,0.532288,-0.477815
27686,,9.846132,-0.243448,-1.116835,0.006097,0.020486,0.014521,0.984375,-0.326172,-0.146484,-0.456996,-0.528688,0.532282,-0.477827
27687,,9.892576,-0.235056,-1.087544,0.000321,0.020210,0.014064,0.984375,-0.328613,-0.153076,-0.457015,-0.528664,0.532308,-0.477807
27688,,9.860358,-0.208727,-1.149700,0.000712,0.023056,0.016504,0.989014,-0.328369,-0.148682,-0.457001,-0.528661,0.532315,-0.477816
27689,,9.860578,-0.210474,-1.147493,-0.004785,0.021796,0.019404,0.984619,-0.330811,-0.150879,-0.457026,-0.528608,0.532363,-0.477797
27690,,9.872183,-0.229337,-1.158583,-0.004379,0.020296,0.017101,0.984619,-0.333008,-0.148438,-0.457017,-0.528599,0.532389,-0.477787
27691,,9.848970,-0.274829,-1.210059,0.001777,0.023394,0.012659,0.979980,-0.328613,-0.155273,-0.457046,-0.528572,0.532404,-0.477773
27692,,9.823909,-0.296857,-1.157699,0.007030,0.021334,0.016348,0.987061,-0.337402,-0.148438,-0.457011,-0.528588,0.532399,-0.477794
27693,,9.872838,-0.233964,-1.152052,0.009174,0.022037,0.015989,0.989258,-0.335205,-0.146240,-0.457013,-0.528568,0.532413,-0.477798
27694,,9.882933,-0.206909,-1.133123,0.008897,0.023021,0.012633,0.982422,-0.335449,-0.150635,-0.456987,-0.528594,0.532390,-0.477820
27695,,9.858226,-0.206697,-1.154603,-0.004270,0.024126,0.016187,0.986816,-0.333008,-0.150635,-0.457025,-0.528541,0.532428,-0.477800
27696,,9.838723,-0.265234,-1.185713,-0.013129,0.022295,0.014272,0.984619,-0.330811,-0.150879,-0.457051,-0.528515,0.532463,-0.477765
27697,,9.854006,-0.296824,-1.176448,-0.002380,0.021489,0.015071,0.982422,-0.333008,-0.148438,-0.457081,-0.528475,0.532499,-0.477740
27698,,9.864134,-0.269585,-1.157247,0.004834,0.029269,0.011530,0.984619,-0.330811,-0.157471,-0.457084,-0.528481,0.532469,-0.477765
27699,,9.855093,-0.221249,-1.091489,0.003392,0.021758,0.015541,0.989258,-0.335205,-0.150635,-0.457103,-0.528449,0.532497,-0.477751
27700,,9.830367,-0.221113,-1.113316,0.001792,0.019063,0.015275,0.986816,-0.330811,-0.146240,-0.457078,-0.528462,0.532506,-0.477749
27701,,9.841968,-0.239616,-1.124448,0.002318,0.021394,0.012052,0.979980,-0.330811,-0.153076,-0.457099,-0.528445,0.532519,-0.477734
27702,,9.817289,-0.239185,-1.146063,0.000424,0.024029,0.013175,0.982422,-0.335449,-0.148438,-0.457096,-0.528449,0.532515,-0.477737
27703,,9.890108,-0.278245,-1.122533,0.000989,0.017714,0.015146,0.984619,-0.330811,-0.144043,-0.457110,-0.528422,0.532557,-0.477707
27704,,9.846757,-0.234653,-1.171887,0.001106,0.021543,0.014230,0.984619,-0.335205,-0.148438,-0.457096,-0.528430,0.532560,-0.477708
27705,,9.871881,-0.237687,-1.145765,0.003915,0.024084,0.012330,0.979980,-0.333252,-0.148438,-0.457117,-0.528411,0.532562,-0.477707
27706,,9.872118,-0.239038,-1.143440,0.001903,0.022888,0.014369,0.984375,-0.326172,-0.148682,-0.457104,-0.528418,0.532560,-0.477713
27707,,9.868107,-0.249576,-1.087658,-0.006683,0.020080,0.015801,0.984375,-0.328613,-0.155273,-0.457136,-0.528374,0.532607,-0.477678
27708,,9.851253,-0.253154,-1.142864,-0.008435,0.022202,0.011256,0.982178,-0.328613,-0.150879,-0.457157,-0.528367,0.532624,-0.477648
27709,,9.838010,-0.269729,-1.177767,-0.003327,0.020628,0.013275,0.982178,-0.328613,-0.148682,-0.457193,-0.528332,0.532660,-0.477611
27710,,9.863103,-0.272648,-1.151653,0.000284,0.024514,0.011513,0.984619,-0.330811,-0.155273,-0.457196,-0.528339,0.532651,-0.477611
27711,,9.848343,-0.243569,-1.156639,-0.001982,0.019982,0.012786,0.982178,-0.330811,-0.146240,-0.457227,-0.528311,0.532684,-0.477576
27712,,9.858438,-0.216217,-1.137760,-0.001864,0.023811,0.011873,0.982178,-0.330811,-0.148682,-0.457233,-0.528313,0.532682,-0.477570
27713,,9.831069,-0.270452,-1.135613,0.002309,0.021383,0.012078,0.984375,-0.328613,-0.153076,-0.457252,-0.528297,0.532695,-0.477555
27714,,9.858886,-0.218617,-1.133418,0.002309,0.021382,0.012079,0.982178,-0.328613,-0.148682,-0.457240,-0.528314,0.532689,-0.477553
27715,,9.836292,-0.185399,-1.104947,0.000148,0.025003,0.009842,0.982422,-0.333008,-0.150635,-0.457284,-0.528290,0.532695,-0.477533
27716,,9.830204,-0.228028,-1.099080,-0.004947,0.022255,0.010417,0.982178,-0.330811,-0.146240,-0.457297,-0.528292,0.532700,-0.477511
27717,,9.887957,-0.236647,-1.082335,-0.008856,0.023695,0.013575,0.982422,-0.333008,-0.155029,-0.457351,-0.528239,0.532741,-0.477473
27718,,9.846438,-0.238423,-1.161297,-0.007510,0.023049,0.013086,0.982178,-0.330811,-0.146240,-0.457366,-0.528227,0.532758,-0.477453
27719,,9.861596,-0.269752,-1.152048,-0.005203,0.018916,0.009656,0.984375,-0.328613,-0.150879,-0.457410,-0.528201,0.532794,-0.477399
27720,,9.860252,-0.225093,-1.120190,-0.006165,0.022403,0.012597,0.982178,-0.328613,-0.146484,-0.457422,-0.528195,0.532808,-0.477379
